Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Estonia (EE),02.01.2018 12:00 - 02.01.2018 13:00 (CET),70,0,0,1,0,0,1169,4,0,0,3,0,0,0,0,6,1,16,0,167
Estonia (EE),02.01.2018 13:00 - 02.01.2018 14:00 (CET),70,0,0,1,0,0,1098,4,0,0,3,0,0,0,0,6,1,16,0,163
Estonia (EE),02.01.2018 14:00 - 02.01.2018 15:00 (CET),70,0,0,1,0,0,1116,4,0,0,3,0,0,0,0,6,1,15,0,167
Estonia (EE),02.01.2018 15:00 - 02.01.2018 16:00 (CET),70,0,0,1,0,0,1115,4,0,0,3,0,0,0,0,5,1,16,0,175
Estonia (EE),02.01.2018 16:00 - 02.01.2018 17:00 (CET),71,0,0,1,0,0,1103,4,0,0,3,0,0,0,0,5,1,16,0,185
Estonia (EE),02.01.2018 17:00 - 02.01.2018 18:00 (CET),72,0,0,1,0,0,1085,5,0,0,3,0,0,0,0,5,1,16,0,169
Estonia (EE),02.01.2018 18:00 - 02.01.2018 19:00 (CET),74,0,0,1,0,0,1088,5,0,0,3,0,0,0,0,5,1,16,0,155
Estonia (EE),02.01.2018 19:00 - 02.01.2018 20:00 (CET),73,0,0,1,0,0,1111,5,0,0,3,0,0,0,0,5,1,16,0,164
Estonia (EE),02.01.2018 20:00 - 02.01.2018 21:00 (CET),75,0,0,1,0,0,1119,5,0,0,3,0,0,0,0,5,1,17,0,175
Estonia (EE),02.01.2018 21:00 - 02.01.2018 22:00 (CET),75,0,0,1,0,0,1168,5,0,0,3,0,0,0,0,5,1,17,0,176
Estonia (EE),02.01.2018 22:00 - 02.01.2018 23:00 (CET),75,0,0,1,0,0,1194,5,0,0,3,0,0,0,0,5,1,17,0,176
Estonia (EE),02.01.2018 23:00 - 03.01.2018 00:00 (CET),74,0,0,1,0,0,1172,5,0,0,3,0,0,0,0,5,1,17,0,158
Estonia (EE),03.01.2018 00:00 - 03.01.2018 01:00 (CET),74,0,0,1,0,0,1020,5,0,0,3,0,0,0,0,5,1,17,0,156
Estonia (EE),03.01.2018 01:00 - 03.01.2018 02:00 (CET),74,0,0,1,0,0,970,5,0,0,3,0,0,0,0,5,1,17,0,154
Estonia (EE),03.01.2018 02:00 - 03.01.2018 03:00 (CET),74,0,0,1,0,0,887,5,0,0,3,0,0,0,0,5,1,16,0,163
Estonia (EE),03.01.2018 03:00 - 03.01.2018 04:00 (CET),71,0,0,1,0,0,859,4,0,0,3,0,0,0,0,5,1,17,0,143
Estonia (EE),03.01.2018 04:00 - 03.01.2018 05:00 (CET),71,0,0,1,0,0,960,4,0,0,3,0,0,0,0,5,1,17,0,127
Estonia (EE),03.01.2018 05:00 - 03.01.2018 06:00 (CET),71,0,0,1,0,0,999,4,0,0,3,0,0,0,0,5,1,16,0,104
Estonia (EE),03.01.2018 06:00 - 03.01.2018 07:00 (CET),71,0,0,1,0,0,1149,4,0,0,3,0,0,0,0,5,1,15,0,85
Estonia (EE),03.01.2018 07:00 - 03.01.2018 08:00 (CET),71,0,0,1,0,0,1167,4,0,0,3,0,0,0,0,5,1,16,0,73
Estonia (EE),03.01.2018 08:00 - 03.01.2018 09:00 (CET),71,0,0,1,0,0,1150,4,0,0,3,0,0,0,0,5,1,17,0,58
Estonia (EE),03.01.2018 09:00 - 03.01.2018 10:00 (CET),71,0,0,1,0,0,1118,4,0,0,3,0,0,0,0,6,1,17,0,53
Estonia (EE),03.01.2018 10:00 - 03.01.2018 11:00 (CET),71,0,0,1,0,0,1146,4,0,0,3,0,0,0,0,6,1,17,0,47
Estonia (EE),03.01.2018 11:00 - 03.01.2018 12:00 (CET),71,0,0,1,0,0,1145,4,0,0,3,0,0,0,0,6,1,17,0,43
