Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Austria (AT),01.01.2018 08:45 - 01.01.2018 09:00 (CET),316,0,0,87,149,0,0,0,0,986,3415,132,0,0,22,0,30,100,0,304
Austria (AT),01.01.2018 09:00 - 01.01.2018 09:15 (CET),316,0,0,86,150,0,0,0,0,937,3372,134,0,0,22,0,43,100,0,280
Austria (AT),01.01.2018 09:15 - 01.01.2018 09:30 (CET),316,0,0,86,149,0,0,0,0,960,3368,134,0,0,22,0,57,100,0,278
Austria (AT),01.01.2018 09:30 - 01.01.2018 09:45 (CET),316,0,0,86,148,0,0,0,0,938,3375,137,0,0,22,0,73,100,0,273
Austria (AT),01.01.2018 09:45 - 01.01.2018 10:00 (CET),316,0,0,85,148,0,0,0,0,922,3360,137,0,0,22,0,88,100,0,272
Austria (AT),01.01.2018 10:00 - 01.01.2018 10:15 (CET),316,0,0,86,149,0,0,0,0,957,3370,134,0,0,22,0,103,100,0,292
Austria (AT),01.01.2018 10:15 - 01.01.2018 10:30 (CET),316,0,0,84,149,0,0,0,0,946,3345,139,0,0,22,0,118,100,0,300
Austria (AT),01.01.2018 10:30 - 01.01.2018 10:45 (CET),316,0,0,85,149,0,0,0,0,938,3394,148,0,0,22,0,132,100,0,346
Austria (AT),01.01.2018 10:45 - 01.01.2018 11:00 (CET),316,0,0,82,149,0,0,0,0,934,3424,152,0,0,22,0,146,100,0,408
Austria (AT),01.01.2018 11:00 - 01.01.2018 11:15 (CET),316,0,0,82,149,0,0,0,0,932,3457,226,0,0,22,0,156,100,0,441
Austria (AT),01.01.2018 11:15 - 01.01.2018 11:30 (CET),316,0,0,81,149,0,0,0,0,927,3542,274,0,0,22,0,165,100,0,483
Austria (AT),01.01.2018 11:30 - 01.01.2018 11:45 (CET),316,0,0,82,149,0,0,0,0,908,3578,215,0,0,22,0,173,100,0,545
Austria (AT),01.01.2018 11:45 - 01.01.2018 12:00 (CET),316,0,0,81,149,0,0,0,0,887,3614,141,0,0,22,0,181,100,0,624
Austria (AT),01.01.2018 12:00 - 01.01.2018 12:15 (CET),316,0,0,80,149,0,0,0,0,884,3578,143,0,0,22,0,183,100,0,681
Austria (AT),01.01.2018 12:15 - 01.01.2018 12:30 (CET),316,0,0,80,149,0,0,0,0,944,3557,138,0,0,22,0,184,100,0,763
Austria (AT),01.01.2018 12:30 - 01.01.2018 12:45 (CET),316,0,0,79,149,0,0,0,0,960,3544,230,0,0,22,0,184,100,0,809
Austria (AT),01.01.2018 12:45 - 01.01.2018 13:00 (CET),316,0,0,80,149,0,0,0,0,925,3536,238,0,0,22,0,184,100,0,873
Austria (AT),01.01.2018 13:00 - 01.01.2018 13:15 (CET),316,0,0,81,150,0,0,0,0,1019,3592,128,0,0,22,0,177,100,0,986
Austria (AT),01.01.2018 13:15 - 01.01.2018 13:30 (CET),316,0,0,80,148,0,0,0,0,1022,3616,133,0,0,22,0,169,100,0,1027
Austria (AT),01.01.2018 13:30 - 01.01.2018 13:45 (CET),316,0,0,78,150,0,0,0,0,1029,3534,178,0,0,22,0,161,100,0,1018
Austria (AT),01.01.2018 13:45 - 01.01.2018 14:00 (CET),316,0,0,77,149,0,0,0,0,1049,3491,121,0,0,22,0,152,100,0,946
Austria (AT),01.01.2018 14:00 - 01.01.2018 14:15 (CET),316,0,0,78,149,0,0,0,0,884,3506,104,0,0,22,0,137,100,0,889
Austria (AT),01.01.2018 14:15 - 01.01.2018 14:30 (CET),316,0,0,79,150,0,0,0,0,843,3588,117,0,0,22,0,123,100,0,894
