Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
02.01.2018 02:00 - 02.01.2018 02:15,8159,7717
02.01.2018 02:15 - 02.01.2018 02:30,8080,7664
02.01.2018 02:30 - 02.01.2018 02:45,8013,7597
02.01.2018 02:45 - 02.01.2018 03:00,7961,7513
02.01.2018 03:00 - 02.01.2018 03:15,7869,7520
02.01.2018 03:15 - 02.01.2018 03:30,7790,7426
02.01.2018 03:30 - 02.01.2018 03:45,7750,7519
02.01.2018 03:45 - 02.01.2018 04:00,7750,7458
02.01.2018 04:00 - 02.01.2018 04:15,7723,7527
02.01.2018 04:15 - 02.01.2018 04:30,7690,7609
02.01.2018 04:30 - 02.01.2018 04:45,7738,7665
02.01.2018 04:45 - 02.01.2018 05:00,7787,7733
02.01.2018 05:00 - 02.01.2018 05:15,7772,7878
02.01.2018 05:15 - 02.01.2018 05:30,7860,7986
02.01.2018 05:30 - 02.01.2018 05:45,7971,8074
02.01.2018 05:45 - 02.01.2018 06:00,8124,8226
02.01.2018 06:00 - 02.01.2018 06:15,8212,8468
02.01.2018 06:15 - 02.01.2018 06:30,8391,8674
02.01.2018 06:30 - 02.01.2018 06:45,8579,8933
02.01.2018 06:45 - 02.01.2018 07:00,8729,9158
02.01.2018 07:00 - 02.01.2018 07:15,9334,9278
02.01.2018 07:15 - 02.01.2018 07:30,9458,9524
02.01.2018 07:30 - 02.01.2018 07:45,9668,9726
02.01.2018 07:45 - 02.01.2018 08:00,9793,9816
02.01.2018 08:00 - 02.01.2018 08:15,9978,9939
02.01.2018 08:15 - 02.01.2018 08:30,10103,10190
02.01.2018 08:30 - 02.01.2018 08:45,10161,10295
02.01.2018 08:45 - 02.01.2018 09:00,10152,10405
02.01.2018 09:00 - 02.01.2018 09:15,10760,10607
02.01.2018 09:15 - 02.01.2018 09:30,10834,10612
02.01.2018 09:30 - 02.01.2018 09:45,10879,10663
02.01.2018 09:45 - 02.01.2018 10:00,10914,10698
