Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
08.02.2018 00:30 - 08.02.2018 00:45,10464,11270
08.02.2018 00:45 - 08.02.2018 01:00,10312,11109
08.02.2018 01:00 - 08.02.2018 01:15,10144,11051
08.02.2018 01:15 - 08.02.2018 01:30,9984,10968
08.02.2018 01:30 - 08.02.2018 01:45,9901,10818
08.02.2018 01:45 - 08.02.2018 02:00,9784,10736
08.02.2018 02:00 - 08.02.2018 02:15,9746,10666
08.02.2018 02:15 - 08.02.2018 02:30,9636,10545
08.02.2018 02:30 - 08.02.2018 02:45,9532,10518
08.02.2018 02:45 - 08.02.2018 03:00,9499,10493
08.02.2018 03:00 - 08.02.2018 03:15,9472,10396
08.02.2018 03:15 - 08.02.2018 03:30,9370,10308
08.02.2018 03:30 - 08.02.2018 03:45,9329,10298
08.02.2018 03:45 - 08.02.2018 04:00,9369,10276
08.02.2018 04:00 - 08.02.2018 04:15,9401,10255
08.02.2018 04:15 - 08.02.2018 04:30,9436,10301
08.02.2018 04:30 - 08.02.2018 04:45,9500,10256
08.02.2018 04:45 - 08.02.2018 05:00,9557,10237
08.02.2018 05:00 - 08.02.2018 05:15,9692,10472
08.02.2018 05:15 - 08.02.2018 05:30,9825,10568
08.02.2018 05:30 - 08.02.2018 05:45,9998,10728
08.02.2018 05:45 - 08.02.2018 06:00,10178,10854
08.02.2018 06:00 - 08.02.2018 06:15,10587,11276
08.02.2018 06:15 - 08.02.2018 06:30,10929,11719
08.02.2018 06:30 - 08.02.2018 06:45,11276,11918
08.02.2018 06:45 - 08.02.2018 07:00,11553,12280
08.02.2018 07:00 - 08.02.2018 07:15,11706,12403
08.02.2018 07:15 - 08.02.2018 07:30,11972,12593
08.02.2018 07:30 - 08.02.2018 07:45,12206,12940
08.02.2018 07:45 - 08.02.2018 08:00,12299,12949
08.02.2018 08:00 - 08.02.2018 08:15,12307,12786
08.02.2018 08:15 - 08.02.2018 08:30,12258,12843
08.02.2018 08:30 - 08.02.2018 08:45,12291,12944
08.02.2018 08:45 - 08.02.2018 09:00,12353,13015
08.02.2018 09:00 - 08.02.2018 09:15,12521,13032
08.02.2018 09:15 - 08.02.2018 09:30,12504,13087
08.02.2018 09:30 - 08.02.2018 09:45,12578,12991
08.02.2018 09:45 - 08.02.2018 10:00,12544,13003
08.02.2018 10:00 - 08.02.2018 10:15,12558,12919
08.02.2018 10:15 - 08.02.2018 10:30,12553,12949
08.02.2018 10:30 - 08.02.2018 10:45,12576,12906
08.02.2018 10:45 - 08.02.2018 11:00,12612,12856
08.02.2018 11:00 - 08.02.2018 11:15,12566,12838
08.02.2018 11:15 - 08.02.2018 11:30,12590,12833
08.02.2018 11:30 - 08.02.2018 11:45,12642,12875
08.02.2018 11:45 - 08.02.2018 12:00,12656,12781
08.02.2018 12:00 - 08.02.2018 12:15,12423,12681
08.02.2018 12:15 - 08.02.2018 12:30,12295,12526
08.02.2018 12:30 - 08.02.2018 12:45,12312,12486
08.02.2018 12:45 - 08.02.2018 13:00,12338,12486
08.02.2018 13:00 - 08.02.2018 13:15,12376,12411
08.02.2018 13:15 - 08.02.2018 13:30,12323,12473
08.02.2018 13:30 - 08.02.2018 13:45,12306,12340
08.02.2018 13:45 - 08.02.2018 14:00,12255,12352
08.02.2018 14:00 - 08.02.2018 14:15,12148,12202
08.02.2018 14:15 - 08.02.2018 14:30,12127,12051
08.02.2018 14:30 - 08.02.2018 14:45,12123,12046
08.02.2018 14:45 - 08.02.2018 15:00,12105,12052
08.02.2018 15:00 - 08.02.2018 15:15,12098,12003
08.02.2018 15:15 - 08.02.2018 15:30,12079,11996
08.02.2018 15:30 - 08.02.2018 15:45,12057,12047
08.02.2018 15:45 - 08.02.2018 16:00,12091,11975
08.02.2018 16:00 - 08.02.2018 16:15,12097,11909
08.02.2018 16:15 - 08.02.2018 16:30,12103,11904
08.02.2018 16:30 - 08.02.2018 16:45,12063,11821
08.02.2018 16:45 - 08.02.2018 17:00,12107,11930
08.02.2018 17:00 - 08.02.2018 17:15,12104,11970
08.02.2018 17:15 - 08.02.2018 17:30,12291,12128
08.02.2018 17:30 - 08.02.2018 17:45,12587,12335
08.02.2018 17:45 - 08.02.2018 18:00,12776,12638
08.02.2018 18:00 - 08.02.2018 18:15,12957,12897
08.02.2018 18:15 - 08.02.2018 18:30,12859,12956
08.02.2018 18:30 - 08.02.2018 18:45,12850,13008
08.02.2018 18:45 - 08.02.2018 19:00,12745,12889
08.02.2018 19:00 - 08.02.2018 19:15,12692,12663
08.02.2018 19:15 - 08.02.2018 19:30,12522,12501
08.02.2018 19:30 - 08.02.2018 19:45,12342,12355
08.02.2018 19:45 - 08.02.2018 20:00,12217,12255
08.02.2018 20:00 - 08.02.2018 20:15,12117,12309
08.02.2018 20:15 - 08.02.2018 20:30,11944,12092
08.02.2018 20:30 - 08.02.2018 20:45,11787,11926
08.02.2018 20:45 - 08.02.2018 21:00,11595,11787
08.02.2018 21:00 - 08.02.2018 21:15,11585,11670
08.02.2018 21:15 - 08.02.2018 21:30,11381,11588
08.02.2018 21:30 - 08.02.2018 21:45,11242,11466
08.02.2018 21:45 - 08.02.2018 22:00,11143,11286
08.02.2018 22:00 - 08.02.2018 22:15,11352,11350
08.02.2018 22:15 - 08.02.2018 22:30,11531,11497
08.02.2018 22:30 - 08.02.2018 22:45,11495,11661
08.02.2018 22:45 - 08.02.2018 23:00,11419,11558
08.02.2018 23:00 - 08.02.2018 23:15,11570,11662
08.02.2018 23:15 - 08.02.2018 23:30,11467,11558
08.02.2018 23:30 - 08.02.2018 23:45,11313,11401
08.02.2018 23:45 - 09.02.2018 00:00,11134,11159
09.02.2018 00:00 - 09.02.2018 00:15,11208,11316
09.02.2018 00:15 - 09.02.2018 00:30,11158,11111
09.02.2018 00:30 - 09.02.2018 00:45,11016,10973
09.02.2018 00:45 - 09.02.2018 01:00,10867,10901
09.02.2018 01:00 - 09.02.2018 01:15,10807,10863
09.02.2018 01:15 - 09.02.2018 01:30,10634,10688
09.02.2018 01:30 - 09.02.2018 01:45,10530,10610
09.02.2018 01:45 - 09.02.2018 02:00,10426,10480
09.02.2018 02:00 - 09.02.2018 02:15,10326,10481
09.02.2018 02:15 - 09.02.2018 02:30,10201,10386
09.02.2018 02:30 - 09.02.2018 02:45,10079,10336
09.02.2018 02:45 - 09.02.2018 03:00,10046,10375
09.02.2018 03:00 - 09.02.2018 03:15,10095,10290
09.02.2018 03:15 - 09.02.2018 03:30,9990,10192
09.02.2018 03:30 - 09.02.2018 03:45,9958,10093
09.02.2018 03:45 - 09.02.2018 04:00,9986,10149
09.02.2018 04:00 - 09.02.2018 04:15,9959,10107
09.02.2018 04:15 - 09.02.2018 04:30,9964,10092
09.02.2018 04:30 - 09.02.2018 04:45,10032,10075
09.02.2018 04:45 - 09.02.2018 05:00,10112,10124
09.02.2018 05:00 - 09.02.2018 05:15,10194,10278
09.02.2018 05:15 - 09.02.2018 05:30,10317,10395
09.02.2018 05:30 - 09.02.2018 05:45,10480,10639
09.02.2018 05:45 - 09.02.2018 06:00,10678,10726
09.02.2018 06:00 - 09.02.2018 06:15,11006,11073
09.02.2018 06:15 - 09.02.2018 06:30,11349,11536
09.02.2018 06:30 - 09.02.2018 06:45,11719,11792
09.02.2018 06:45 - 09.02.2018 07:00,11995,12139
09.02.2018 07:00 - 09.02.2018 07:15,12132,12408
09.02.2018 07:15 - 09.02.2018 07:30,12402,12531
09.02.2018 07:30 - 09.02.2018 07:45,12645,12822
09.02.2018 07:45 - 09.02.2018 08:00,12725,12784
09.02.2018 08:00 - 09.02.2018 08:15,12720,12588
09.02.2018 08:15 - 09.02.2018 08:30,12666,12556
09.02.2018 08:30 - 09.02.2018 08:45,12732,12560
09.02.2018 08:45 - 09.02.2018 09:00,12784,12658
09.02.2018 09:00 - 09.02.2018 09:15,12851,12688
09.02.2018 09:15 - 09.02.2018 09:30,12851,12662
09.02.2018 09:30 - 09.02.2018 09:45,12912,12851
09.02.2018 09:45 - 09.02.2018 10:00,12905,12820
09.02.2018 10:00 - 09.02.2018 10:15,12871,12774
09.02.2018 10:15 - 09.02.2018 10:30,12867,12749
09.02.2018 10:30 - 09.02.2018 10:45,12890,12751
09.02.2018 10:45 - 09.02.2018 11:00,12904,12697
09.02.2018 11:00 - 09.02.2018 11:15,12912,12781
09.02.2018 11:15 - 09.02.2018 11:30,12929,12844
09.02.2018 11:30 - 09.02.2018 11:45,12986,12751
09.02.2018 11:45 - 09.02.2018 12:00,12991,12750
09.02.2018 12:00 - 09.02.2018 12:15,12771,12608
09.02.2018 12:15 - 09.02.2018 12:30,12638,12552
09.02.2018 12:30 - 09.02.2018 12:45,12654,12604
09.02.2018 12:45 - 09.02.2018 13:00,12673,12597
09.02.2018 13:00 - 09.02.2018 13:15,12701,12563
09.02.2018 13:15 - 09.02.2018 13:30,12652,12555
09.02.2018 13:30 - 09.02.2018 13:45,12623,12581
09.02.2018 13:45 - 09.02.2018 14:00,12575,12604
09.02.2018 14:00 - 09.02.2018 14:15,12514,12569
09.02.2018 14:15 - 09.02.2018 14:30,12482,12655
09.02.2018 14:30 - 09.02.2018 14:45,12484,12727
09.02.2018 14:45 - 09.02.2018 15:00,12452,12803
09.02.2018 15:00 - 09.02.2018 15:15,12403,12814
09.02.2018 15:15 - 09.02.2018 15:30,12394,12800
09.02.2018 15:30 - 09.02.2018 15:45,12385,12727
09.02.2018 15:45 - 09.02.2018 16:00,12424,12543
09.02.2018 16:00 - 09.02.2018 16:15,12085,12577
09.02.2018 16:15 - 09.02.2018 16:30,12101,12564
09.02.2018 16:30 - 09.02.2018 16:45,12059,12550
09.02.2018 16:45 - 09.02.2018 17:00,12149,12618
09.02.2018 17:00 - 09.02.2018 17:15,12011,12578
09.02.2018 17:15 - 09.02.2018 17:30,12214,12629
09.02.2018 17:30 - 09.02.2018 17:45,12535,12815
09.02.2018 17:45 - 09.02.2018 18:00,12663,13032
09.02.2018 18:00 - 09.02.2018 18:15,12888,13019
09.02.2018 18:15 - 09.02.2018 18:30,12848,13076
09.02.2018 18:30 - 09.02.2018 18:45,12827,13099
09.02.2018 18:45 - 09.02.2018 19:00,12738,12971
09.02.2018 19:00 - 09.02.2018 19:15,12649,12815
09.02.2018 19:15 - 09.02.2018 19:30,12493,12645
09.02.2018 19:30 - 09.02.2018 19:45,12331,12424
09.02.2018 19:45 - 09.02.2018 20:00,12204,12320
09.02.2018 20:00 - 09.02.2018 20:15,12173,12064
09.02.2018 20:15 - 09.02.2018 20:30,12014,11955
09.02.2018 20:30 - 09.02.2018 20:45,11852,11915
09.02.2018 20:45 - 09.02.2018 21:00,11645,11881
09.02.2018 21:00 - 09.02.2018 21:15,11604,11645
09.02.2018 21:15 - 09.02.2018 21:30,11416,11431
09.02.2018 21:30 - 09.02.2018 21:45,11281,11334
09.02.2018 21:45 - 09.02.2018 22:00,11160,11170
09.02.2018 22:00 - 09.02.2018 22:15,11444,11373
09.02.2018 22:15 - 09.02.2018 22:30,11630,11592
09.02.2018 22:30 - 09.02.2018 22:45,11598,11685
09.02.2018 22:45 - 09.02.2018 23:00,11543,11602
09.02.2018 23:00 - 09.02.2018 23:15,11786,11800
09.02.2018 23:15 - 09.02.2018 23:30,11663,11756
09.02.2018 23:30 - 09.02.2018 23:45,11510,11633
09.02.2018 23:45 - 10.02.2018 00:00,11348,11435
10.02.2018 00:00 - 10.02.2018 00:15,10894,11277
10.02.2018 00:15 - 10.02.2018 00:30,10826,11246
10.02.2018 00:30 - 10.02.2018 00:45,10692,11118
10.02.2018 00:45 - 10.02.2018 01:00,10567,10918
10.02.2018 01:00 - 10.02.2018 01:15,10433,10804
10.02.2018 01:15 - 10.02.2018 01:30,10282,10619
10.02.2018 01:30 - 10.02.2018 01:45,10176,10491
10.02.2018 01:45 - 10.02.2018 02:00,9989,10409
10.02.2018 02:00 - 10.02.2018 02:15,9929,10232
10.02.2018 02:15 - 10.02.2018 02:30,9814,10171
10.02.2018 02:30 - 10.02.2018 02:45,9763,10125
10.02.2018 02:45 - 10.02.2018 03:00,9705,10024
10.02.2018 03:00 - 10.02.2018 03:15,9541,9983
10.02.2018 03:15 - 10.02.2018 03:30,9481,9948
10.02.2018 03:30 - 10.02.2018 03:45,9400,9905
10.02.2018 03:45 - 10.02.2018 04:00,9470,9876
10.02.2018 04:00 - 10.02.2018 04:15,9274,9767
10.02.2018 04:15 - 10.02.2018 04:30,9314,9717
10.02.2018 04:30 - 10.02.2018 04:45,9252,9730
10.02.2018 04:45 - 10.02.2018 05:00,9200,9760
10.02.2018 05:00 - 10.02.2018 05:15,9302,9723
10.02.2018 05:15 - 10.02.2018 05:30,9269,9788
10.02.2018 05:30 - 10.02.2018 05:45,9324,9859
10.02.2018 05:45 - 10.02.2018 06:00,9285,9904
10.02.2018 06:00 - 10.02.2018 06:15,9412,10000
10.02.2018 06:15 - 10.02.2018 06:30,9529,9941
10.02.2018 06:30 - 10.02.2018 06:45,9610,10149
10.02.2018 06:45 - 10.02.2018 07:00,9645,10186
10.02.2018 07:00 - 10.02.2018 07:15,9663,10183
10.02.2018 07:15 - 10.02.2018 07:30,9747,10178
10.02.2018 07:30 - 10.02.2018 07:45,9898,10274
10.02.2018 07:45 - 10.02.2018 08:00,10062,10421
10.02.2018 08:00 - 10.02.2018 08:15,10206,10518
10.02.2018 08:15 - 10.02.2018 08:30,10335,10627
10.02.2018 08:30 - 10.02.2018 08:45,10368,10813
10.02.2018 08:45 - 10.02.2018 09:00,10545,11076
10.02.2018 09:00 - 10.02.2018 09:15,10766,11180
10.02.2018 09:15 - 10.02.2018 09:30,10891,11225
10.02.2018 09:30 - 10.02.2018 09:45,11011,11321
10.02.2018 09:45 - 10.02.2018 10:00,11125,11340
10.02.2018 10:00 - 10.02.2018 10:15,11184,11357
10.02.2018 10:15 - 10.02.2018 10:30,11233,11463
10.02.2018 10:30 - 10.02.2018 10:45,11279,11406
10.02.2018 10:45 - 10.02.2018 11:00,11306,11390
10.02.2018 11:00 - 10.02.2018 11:15,11354,11319
10.02.2018 11:15 - 10.02.2018 11:30,11400,11299
10.02.2018 11:30 - 10.02.2018 11:45,11441,11373
10.02.2018 11:45 - 10.02.2018 12:00,11467,11240
10.02.2018 12:00 - 10.02.2018 12:15,11458,11258
10.02.2018 12:15 - 10.02.2018 12:30,11397,11150
10.02.2018 12:30 - 10.02.2018 12:45,11337,11040
10.02.2018 12:45 - 10.02.2018 13:00,11344,10971
10.02.2018 13:00 - 10.02.2018 13:15,11310,10870
10.02.2018 13:15 - 10.02.2018 13:30,11148,10801
10.02.2018 13:30 - 10.02.2018 13:45,11113,10733
10.02.2018 13:45 - 10.02.2018 14:00,11084,10597
10.02.2018 14:00 - 10.02.2018 14:15,10981,10550
10.02.2018 14:15 - 10.02.2018 14:30,10914,10590
10.02.2018 14:30 - 10.02.2018 14:45,10779,10447
10.02.2018 14:45 - 10.02.2018 15:00,10795,10430
10.02.2018 15:00 - 10.02.2018 15:15,10846,10556
10.02.2018 15:15 - 10.02.2018 15:30,10801,10466
10.02.2018 15:30 - 10.02.2018 15:45,10796,10480
10.02.2018 15:45 - 10.02.2018 16:00,10705,10438
10.02.2018 16:00 - 10.02.2018 16:15,10729,10360
10.02.2018 16:15 - 10.02.2018 16:30,10724,10345
10.02.2018 16:30 - 10.02.2018 16:45,10795,10439
10.02.2018 16:45 - 10.02.2018 17:00,10835,10485
10.02.2018 17:00 - 10.02.2018 17:15,10695,10631
10.02.2018 17:15 - 10.02.2018 17:30,10959,10706
10.02.2018 17:30 - 10.02.2018 17:45,11272,10818
10.02.2018 17:45 - 10.02.2018 18:00,11371,11062
10.02.2018 18:00 - 10.02.2018 18:15,11733,11319
10.02.2018 18:15 - 10.02.2018 18:30,11690,11466
10.02.2018 18:30 - 10.02.2018 18:45,11671,11505
10.02.2018 18:45 - 10.02.2018 19:00,11562,11441
10.02.2018 19:00 - 10.02.2018 19:15,11575,11450
10.02.2018 19:15 - 10.02.2018 19:30,11379,11251
10.02.2018 19:30 - 10.02.2018 19:45,11274,11186
10.02.2018 19:45 - 10.02.2018 20:00,11152,11047
10.02.2018 20:00 - 10.02.2018 20:15,11031,10797
10.02.2018 20:15 - 10.02.2018 20:30,10966,10670
10.02.2018 20:30 - 10.02.2018 20:45,10787,10424
10.02.2018 20:45 - 10.02.2018 21:00,10662,10294
10.02.2018 21:00 - 10.02.2018 21:15,10558,10079
10.02.2018 21:15 - 10.02.2018 21:30,10439,10051
10.02.2018 21:30 - 10.02.2018 21:45,10352,9950
10.02.2018 21:45 - 10.02.2018 22:00,10224,9883
10.02.2018 22:00 - 10.02.2018 22:15,10403,10055
10.02.2018 22:15 - 10.02.2018 22:30,10539,10183
10.02.2018 22:30 - 10.02.2018 22:45,10491,10228
10.02.2018 22:45 - 10.02.2018 23:00,10534,10165
10.02.2018 23:00 - 10.02.2018 23:15,10716,10474
10.02.2018 23:15 - 10.02.2018 23:30,10626,10403
10.02.2018 23:30 - 10.02.2018 23:45,10519,10309
10.02.2018 23:45 - 11.02.2018 00:00,10469,10259
11.02.2018 00:00 - 11.02.2018 00:15,10264,9991
11.02.2018 00:15 - 11.02.2018 00:30,10124,10002
11.02.2018 00:30 - 11.02.2018 00:45,10008,9774
11.02.2018 00:45 - 11.02.2018 01:00,9817,9653
11.02.2018 01:00 - 11.02.2018 01:15,9815,9660
11.02.2018 01:15 - 11.02.2018 01:30,9612,9569
11.02.2018 01:30 - 11.02.2018 01:45,9498,9434
11.02.2018 01:45 - 11.02.2018 02:00,9394,9320
11.02.2018 02:00 - 11.02.2018 02:15,9335,9212
11.02.2018 02:15 - 11.02.2018 02:30,9230,9100
11.02.2018 02:30 - 11.02.2018 02:45,9163,9076
11.02.2018 02:45 - 11.02.2018 03:00,9068,9016
11.02.2018 03:00 - 11.02.2018 03:15,9040,9089
11.02.2018 03:15 - 11.02.2018 03:30,8907,8769
11.02.2018 03:30 - 11.02.2018 03:45,8817,8776
11.02.2018 03:45 - 11.02.2018 04:00,8824,8818
11.02.2018 04:00 - 11.02.2018 04:15,8797,8774
11.02.2018 04:15 - 11.02.2018 04:30,8766,8763
11.02.2018 04:30 - 11.02.2018 04:45,8762,8869
11.02.2018 04:45 - 11.02.2018 05:00,8825,8879
11.02.2018 05:00 - 11.02.2018 05:15,8877,8749
11.02.2018 05:15 - 11.02.2018 05:30,8888,8840
11.02.2018 05:30 - 11.02.2018 05:45,8891,8776
11.02.2018 05:45 - 11.02.2018 06:00,8929,8743
11.02.2018 06:00 - 11.02.2018 06:15,9001,8818
11.02.2018 06:15 - 11.02.2018 06:30,9048,8957
11.02.2018 06:30 - 11.02.2018 06:45,9144,8974
11.02.2018 06:45 - 11.02.2018 07:00,9069,9030
11.02.2018 07:00 - 11.02.2018 07:15,9070,8844
11.02.2018 07:15 - 11.02.2018 07:30,9116,9005
11.02.2018 07:30 - 11.02.2018 07:45,9235,9157
11.02.2018 07:45 - 11.02.2018 08:00,9344,9075
11.02.2018 08:00 - 11.02.2018 08:15,9364,9159
11.02.2018 08:15 - 11.02.2018 08:30,9444,9191
11.02.2018 08:30 - 11.02.2018 08:45,9600,9451
11.02.2018 08:45 - 11.02.2018 09:00,9670,9501
11.02.2018 09:00 - 11.02.2018 09:15,9946,9764
11.02.2018 09:15 - 11.02.2018 09:30,10001,9887
11.02.2018 09:30 - 11.02.2018 09:45,10105,9947
11.02.2018 09:45 - 11.02.2018 10:00,10203,10020
11.02.2018 10:00 - 11.02.2018 10:15,10368,10107
11.02.2018 10:15 - 11.02.2018 10:30,10447,10196
11.02.2018 10:30 - 11.02.2018 10:45,10411,10265
11.02.2018 10:45 - 11.02.2018 11:00,10434,10179
11.02.2018 11:00 - 11.02.2018 11:15,10518,10262
11.02.2018 11:15 - 11.02.2018 11:30,10596,10477
11.02.2018 11:30 - 11.02.2018 11:45,10733,10510
11.02.2018 11:45 - 11.02.2018 12:00,10750,10536
11.02.2018 12:00 - 11.02.2018 12:15,10773,10517
11.02.2018 12:15 - 11.02.2018 12:30,10726,10516
11.02.2018 12:30 - 11.02.2018 12:45,10670,10449
11.02.2018 12:45 - 11.02.2018 13:00,10633,10395
11.02.2018 13:00 - 11.02.2018 13:15,10556,10171
11.02.2018 13:15 - 11.02.2018 13:30,10452,10166
11.02.2018 13:30 - 11.02.2018 13:45,10430,10001
11.02.2018 13:45 - 11.02.2018 14:00,10294,9941
11.02.2018 14:00 - 11.02.2018 14:15,10214,9855
11.02.2018 14:15 - 11.02.2018 14:30,10146,9741
11.02.2018 14:30 - 11.02.2018 14:45,10121,9633
11.02.2018 14:45 - 11.02.2018 15:00,10082,9743
11.02.2018 15:00 - 11.02.2018 15:15,10053,9859
11.02.2018 15:15 - 11.02.2018 15:30,10076,9695
11.02.2018 15:30 - 11.02.2018 15:45,10085,9706
11.02.2018 15:45 - 11.02.2018 16:00,10069,9625
11.02.2018 16:00 - 11.02.2018 16:15,10063,9796
11.02.2018 16:15 - 11.02.2018 16:30,10117,9664
11.02.2018 16:30 - 11.02.2018 16:45,10087,9695
11.02.2018 16:45 - 11.02.2018 17:00,10172,9700
11.02.2018 17:00 - 11.02.2018 17:15,10098,9812
11.02.2018 17:15 - 11.02.2018 17:30,10402,10070
11.02.2018 17:30 - 11.02.2018 17:45,10691,10357
11.02.2018 17:45 - 11.02.2018 18:00,10875,10577
11.02.2018 18:00 - 11.02.2018 18:15,11263,10947
11.02.2018 18:15 - 11.02.2018 18:30,11330,11199
11.02.2018 18:30 - 11.02.2018 18:45,11334,11210
11.02.2018 18:45 - 11.02.2018 19:00,11346,11194
11.02.2018 19:00 - 11.02.2018 19:15,11275,11078
11.02.2018 19:15 - 11.02.2018 19:30,11270,11091
11.02.2018 19:30 - 11.02.2018 19:45,11162,11034
11.02.2018 19:45 - 11.02.2018 20:00,11128,10883
11.02.2018 20:00 - 11.02.2018 20:15,11033,10772
11.02.2018 20:15 - 11.02.2018 20:30,10902,10763
11.02.2018 20:30 - 11.02.2018 20:45,10819,10516
11.02.2018 20:45 - 11.02.2018 21:00,10688,10530
11.02.2018 21:00 - 11.02.2018 21:15,10559,10481
11.02.2018 21:15 - 11.02.2018 21:30,10506,10330
11.02.2018 21:30 - 11.02.2018 21:45,10328,10130
11.02.2018 21:45 - 11.02.2018 22:00,10280,10296
11.02.2018 22:00 - 11.02.2018 22:15,10424,10261
11.02.2018 22:15 - 11.02.2018 22:30,10536,10398
11.02.2018 22:30 - 11.02.2018 22:45,10521,10421
11.02.2018 22:45 - 11.02.2018 23:00,10430,10347
11.02.2018 23:00 - 11.02.2018 23:15,10669,10524
11.02.2018 23:15 - 11.02.2018 23:30,10587,10489
11.02.2018 23:30 - 11.02.2018 23:45,10428,10436
11.02.2018 23:45 - 12.02.2018 00:00,10331,10218
12.02.2018 00:00 - 12.02.2018 00:15,10035,10263
12.02.2018 00:15 - 12.02.2018 00:30,9895,10301
12.02.2018 00:30 - 12.02.2018 00:45,9811,10181
12.02.2018 00:45 - 12.02.2018 01:00,9672,10002
12.02.2018 01:00 - 12.02.2018 01:15,9731,10040
12.02.2018 01:15 - 12.02.2018 01:30,9525,9918
12.02.2018 01:30 - 12.02.2018 01:45,9481,9784
12.02.2018 01:45 - 12.02.2018 02:00,9265,9626
12.02.2018 02:00 - 12.02.2018 02:15,9266,9526
12.02.2018 02:15 - 12.02.2018 02:30,9104,9519
12.02.2018 02:30 - 12.02.2018 02:45,9088,9417
12.02.2018 02:45 - 12.02.2018 03:00,8984,9493
12.02.2018 03:00 - 12.02.2018 03:15,9031,9414
12.02.2018 03:15 - 12.02.2018 03:30,8978,9328
12.02.2018 03:30 - 12.02.2018 03:45,8860,9278
12.02.2018 03:45 - 12.02.2018 04:00,8907,9321
12.02.2018 04:00 - 12.02.2018 04:15,8987,9413
12.02.2018 04:15 - 12.02.2018 04:30,9006,9377
12.02.2018 04:30 - 12.02.2018 04:45,9032,9405
12.02.2018 04:45 - 12.02.2018 05:00,9168,9465
12.02.2018 05:00 - 12.02.2018 05:15,9336,9636
12.02.2018 05:15 - 12.02.2018 05:30,9504,9845
12.02.2018 05:30 - 12.02.2018 05:45,9600,9959
12.02.2018 05:45 - 12.02.2018 06:00,9808,10167
12.02.2018 06:00 - 12.02.2018 06:15,10287,10583
12.02.2018 06:15 - 12.02.2018 06:30,10703,10861
12.02.2018 06:30 - 12.02.2018 06:45,11079,11089
12.02.2018 06:45 - 12.02.2018 07:00,11351,11357
12.02.2018 07:00 - 12.02.2018 07:15,11533,11530
12.02.2018 07:15 - 12.02.2018 07:30,11781,11702
12.02.2018 07:30 - 12.02.2018 07:45,12099,11956
12.02.2018 07:45 - 12.02.2018 08:00,12139,12008
12.02.2018 08:00 - 12.02.2018 08:15,12218,12033
12.02.2018 08:15 - 12.02.2018 08:30,12275,12174
12.02.2018 08:30 - 12.02.2018 08:45,12253,12232
12.02.2018 08:45 - 12.02.2018 09:00,12356,12332
12.02.2018 09:00 - 12.02.2018 09:15,12413,12438
12.02.2018 09:15 - 12.02.2018 09:30,12435,12474
12.02.2018 09:30 - 12.02.2018 09:45,12458,12474
12.02.2018 09:45 - 12.02.2018 10:00,12446,12402
12.02.2018 10:00 - 12.02.2018 10:15,12320,12370
12.02.2018 10:15 - 12.02.2018 10:30,12334,12409
12.02.2018 10:30 - 12.02.2018 10:45,12345,12332
12.02.2018 10:45 - 12.02.2018 11:00,12339,12384
12.02.2018 11:00 - 12.02.2018 11:15,12369,12274
12.02.2018 11:15 - 12.02.2018 11:30,12340,12118
12.02.2018 11:30 - 12.02.2018 11:45,12445,12228
12.02.2018 11:45 - 12.02.2018 12:00,12391,12363
12.02.2018 12:00 - 12.02.2018 12:15,12157,12269
12.02.2018 12:15 - 12.02.2018 12:30,12036,11994
12.02.2018 12:30 - 12.02.2018 12:45,11966,12020
12.02.2018 12:45 - 12.02.2018 13:00,12063,12133
12.02.2018 13:00 - 12.02.2018 13:15,12060,12250
12.02.2018 13:15 - 12.02.2018 13:30,12081,12238
12.02.2018 13:30 - 12.02.2018 13:45,12022,12118
12.02.2018 13:45 - 12.02.2018 14:00,11955,12014
12.02.2018 14:00 - 12.02.2018 14:15,11873,11647
12.02.2018 14:15 - 12.02.2018 14:30,11884,11827
12.02.2018 14:30 - 12.02.2018 14:45,11867,11962
12.02.2018 14:45 - 12.02.2018 15:00,11813,11905
12.02.2018 15:00 - 12.02.2018 15:15,11839,11670
12.02.2018 15:15 - 12.02.2018 15:30,11708,11671
12.02.2018 15:30 - 12.02.2018 15:45,11766,11503
12.02.2018 15:45 - 12.02.2018 16:00,11737,11966
12.02.2018 16:00 - 12.02.2018 16:15,11589,11866
12.02.2018 16:15 - 12.02.2018 16:30,11583,11858
12.02.2018 16:30 - 12.02.2018 16:45,11625,11686
12.02.2018 16:45 - 12.02.2018 17:00,11664,11756
12.02.2018 17:00 - 12.02.2018 17:15,11657,11836
12.02.2018 17:15 - 12.02.2018 17:30,11911,11878
12.02.2018 17:30 - 12.02.2018 17:45,12132,12182
12.02.2018 17:45 - 12.02.2018 18:00,12343,12338
12.02.2018 18:00 - 12.02.2018 18:15,12563,12555
12.02.2018 18:15 - 12.02.2018 18:30,12594,12700
12.02.2018 18:30 - 12.02.2018 18:45,12535,12770
12.02.2018 18:45 - 12.02.2018 19:00,12495,12688
12.02.2018 19:00 - 12.02.2018 19:15,12437,12625
12.02.2018 19:15 - 12.02.2018 19:30,12391,12447
12.02.2018 19:30 - 12.02.2018 19:45,12278,12371
12.02.2018 19:45 - 12.02.2018 20:00,12204,12170
12.02.2018 20:00 - 12.02.2018 20:15,12006,11994
12.02.2018 20:15 - 12.02.2018 20:30,11864,11912
