Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
02.01.2018 02:00 - 02.01.2018 02:15,6702,5556
02.01.2018 02:15 - 02.01.2018 02:30,6634,5496
02.01.2018 02:30 - 02.01.2018 02:45,6576,5444
02.01.2018 02:45 - 02.01.2018 03:00,6518,5418
02.01.2018 03:00 - 02.01.2018 03:15,6492,5420
02.01.2018 03:15 - 02.01.2018 03:30,6467,5415
02.01.2018 03:30 - 02.01.2018 03:45,6454,5436
02.01.2018 03:45 - 02.01.2018 04:00,6461,5451
02.01.2018 04:00 - 02.01.2018 04:15,6530,5529
02.01.2018 04:15 - 02.01.2018 04:30,6585,5554
02.01.2018 04:30 - 02.01.2018 04:45,6671,5613
02.01.2018 04:45 - 02.01.2018 05:00,6792,5714
02.01.2018 05:00 - 02.01.2018 05:15,7013,5963
02.01.2018 05:15 - 02.01.2018 05:30,7238,6116
02.01.2018 05:30 - 02.01.2018 05:45,7461,6278
02.01.2018 05:45 - 02.01.2018 06:00,7709,6479
02.01.2018 06:00 - 02.01.2018 06:15,8039,6689
02.01.2018 06:15 - 02.01.2018 06:30,8385,6905
02.01.2018 06:30 - 02.01.2018 06:45,8709,7116
02.01.2018 06:45 - 02.01.2018 07:00,8964,7316
02.01.2018 07:00 - 02.01.2018 07:15,9288,7656
02.01.2018 07:15 - 02.01.2018 07:30,9442,7863
02.01.2018 07:30 - 02.01.2018 07:45,9540,8009
02.01.2018 07:45 - 02.01.2018 08:00,9609,8132
02.01.2018 08:00 - 02.01.2018 08:15,9686,8268
02.01.2018 08:15 - 02.01.2018 08:30,9705,8353
02.01.2018 08:30 - 02.01.2018 08:45,9729,8451
02.01.2018 08:45 - 02.01.2018 09:00,9736,8531
02.01.2018 09:00 - 02.01.2018 09:15,9681,8584
02.01.2018 09:15 - 02.01.2018 09:30,9686,8671
02.01.2018 09:30 - 02.01.2018 09:45,9704,8734
02.01.2018 09:45 - 02.01.2018 10:00,9680,8740
02.01.2018 10:00 - 02.01.2018 10:15,9674,8717
02.01.2018 10:15 - 02.01.2018 10:30,9678,8738
02.01.2018 10:30 - 02.01.2018 10:45,9678,8782
02.01.2018 10:45 - 02.01.2018 11:00,9686,8844
02.01.2018 11:00 - 02.01.2018 11:15,9666,8846
02.01.2018 11:15 - 02.01.2018 11:30,9664,8876
02.01.2018 11:30 - 02.01.2018 11:45,9633,8908
02.01.2018 11:45 - 02.01.2018 12:00,9586,8877
02.01.2018 12:00 - 02.01.2018 12:15,9547,8918
02.01.2018 12:15 - 02.01.2018 12:30,9454,8848
02.01.2018 12:30 - 02.01.2018 12:45,9416,8786
02.01.2018 12:45 - 02.01.2018 13:00,9399,8732
02.01.2018 13:00 - 02.01.2018 13:15,9448,8724
02.01.2018 13:15 - 02.01.2018 13:30,9451,8704
02.01.2018 13:30 - 02.01.2018 13:45,9421,8686
02.01.2018 13:45 - 02.01.2018 14:00,9381,8610
02.01.2018 14:00 - 02.01.2018 14:15,9402,8626
02.01.2018 14:15 - 02.01.2018 14:30,9407,8625
02.01.2018 14:30 - 02.01.2018 14:45,9405,8598
02.01.2018 14:45 - 02.01.2018 15:00,9411,8591
02.01.2018 15:00 - 02.01.2018 15:15,9437,8646
02.01.2018 15:15 - 02.01.2018 15:30,9460,8615
02.01.2018 15:30 - 02.01.2018 15:45,9494,8668
02.01.2018 15:45 - 02.01.2018 16:00,9542,8695
02.01.2018 16:00 - 02.01.2018 16:15,9622,8728
02.01.2018 16:15 - 02.01.2018 16:30,9742,8775
02.01.2018 16:30 - 02.01.2018 16:45,9867,8948
02.01.2018 16:45 - 02.01.2018 17:00,9956,9114
02.01.2018 17:00 - 02.01.2018 17:15,9994,9210
02.01.2018 17:15 - 02.01.2018 17:30,10022,9279
02.01.2018 17:30 - 02.01.2018 17:45,10026,9310
02.01.2018 17:45 - 02.01.2018 18:00,10000,9295
02.01.2018 18:00 - 02.01.2018 18:15,9918,9236
02.01.2018 18:15 - 02.01.2018 18:30,9838,9163
02.01.2018 18:30 - 02.01.2018 18:45,9777,9116
02.01.2018 18:45 - 02.01.2018 19:00,9700,9065
02.01.2018 19:00 - 02.01.2018 19:15,9513,8830
02.01.2018 19:15 - 02.01.2018 19:30,9366,8699
02.01.2018 19:30 - 02.01.2018 19:45,9242,8595
02.01.2018 19:45 - 02.01.2018 20:00,9116,8479
02.01.2018 20:00 - 02.01.2018 20:15,8963,8292
02.01.2018 20:15 - 02.01.2018 20:30,8802,8164
02.01.2018 20:30 - 02.01.2018 20:45,8673,8030
02.01.2018 20:45 - 02.01.2018 21:00,8526,7882
02.01.2018 21:00 - 02.01.2018 21:15,8382,7708
02.01.2018 21:15 - 02.01.2018 21:30,8220,7548
02.01.2018 21:30 - 02.01.2018 21:45,8083,7405
02.01.2018 21:45 - 02.01.2018 22:00,7973,7369
02.01.2018 22:00 - 02.01.2018 22:15,8143,7676
02.01.2018 22:15 - 02.01.2018 22:30,8083,7664
02.01.2018 22:30 - 02.01.2018 22:45,7918,7520
02.01.2018 22:45 - 02.01.2018 23:00,7782,7336
02.01.2018 23:00 - 02.01.2018 23:15,7703,7193
02.01.2018 23:15 - 02.01.2018 23:30,7525,7048
02.01.2018 23:30 - 02.01.2018 23:45,7387,6938
02.01.2018 23:45 - 03.01.2018 00:00,7265,6834
03.01.2018 00:00 - 03.01.2018 00:15,7164,6819
03.01.2018 00:15 - 03.01.2018 00:30,7048,6698
03.01.2018 00:30 - 03.01.2018 00:45,6950,6590
03.01.2018 00:45 - 03.01.2018 01:00,6846,6508
03.01.2018 01:00 - 03.01.2018 01:15,6848,6503
03.01.2018 01:15 - 03.01.2018 01:30,6769,6404
03.01.2018 01:30 - 03.01.2018 01:45,6709,6314
03.01.2018 01:45 - 03.01.2018 02:00,6646,6207
03.01.2018 02:00 - 03.01.2018 02:15,6702,6288
03.01.2018 02:15 - 03.01.2018 02:30,6634,6190
03.01.2018 02:30 - 03.01.2018 02:45,6576,6168
03.01.2018 02:45 - 03.01.2018 03:00,6518,6156
03.01.2018 03:00 - 03.01.2018 03:15,6492,6182
03.01.2018 03:15 - 03.01.2018 03:30,6467,6096
03.01.2018 03:30 - 03.01.2018 03:45,6454,6094
03.01.2018 03:45 - 03.01.2018 04:00,6461,6076
03.01.2018 04:00 - 03.01.2018 04:15,6530,6110
03.01.2018 04:15 - 03.01.2018 04:30,6585,6178
03.01.2018 04:30 - 03.01.2018 04:45,6671,6224
03.01.2018 04:45 - 03.01.2018 05:00,6792,6312
03.01.2018 05:00 - 03.01.2018 05:15,7013,6523
03.01.2018 05:15 - 03.01.2018 05:30,7238,6690
03.01.2018 05:30 - 03.01.2018 05:45,7461,6859
03.01.2018 05:45 - 03.01.2018 06:00,7709,7048
03.01.2018 06:00 - 03.01.2018 06:15,8039,7206
03.01.2018 06:15 - 03.01.2018 06:30,8385,7428
03.01.2018 06:30 - 03.01.2018 06:45,8709,7579
03.01.2018 06:45 - 03.01.2018 07:00,8964,7793
03.01.2018 07:00 - 03.01.2018 07:15,9288,8218
03.01.2018 07:15 - 03.01.2018 07:30,9442,8380
03.01.2018 07:30 - 03.01.2018 07:45,9540,8526
03.01.2018 07:45 - 03.01.2018 08:00,9609,8636
03.01.2018 08:00 - 03.01.2018 08:15,9686,8700
03.01.2018 08:15 - 03.01.2018 08:30,9705,8821
03.01.2018 08:30 - 03.01.2018 08:45,9729,8861
03.01.2018 08:45 - 03.01.2018 09:00,9736,8916
03.01.2018 09:00 - 03.01.2018 09:15,9681,8911
03.01.2018 09:15 - 03.01.2018 09:30,9686,8996
03.01.2018 09:30 - 03.01.2018 09:45,9704,8989
03.01.2018 09:45 - 03.01.2018 10:00,9680,9070
03.01.2018 10:00 - 03.01.2018 10:15,9674,9131
03.01.2018 10:15 - 03.01.2018 10:30,9678,9154
03.01.2018 10:30 - 03.01.2018 10:45,9678,9172
03.01.2018 10:45 - 03.01.2018 11:00,9686,9215
03.01.2018 11:00 - 03.01.2018 11:15,9666,9218
03.01.2018 11:15 - 03.01.2018 11:30,9664,9260
03.01.2018 11:30 - 03.01.2018 11:45,9633,9272
03.01.2018 11:45 - 03.01.2018 12:00,9586,9256
03.01.2018 12:00 - 03.01.2018 12:15,9547,9260
03.01.2018 12:15 - 03.01.2018 12:30,9454,9214
03.01.2018 12:30 - 03.01.2018 12:45,9416,9171
03.01.2018 12:45 - 03.01.2018 13:00,9399,9177
03.01.2018 13:00 - 03.01.2018 13:15,9448,9250
03.01.2018 13:15 - 03.01.2018 13:30,9451,9243
03.01.2018 13:30 - 03.01.2018 13:45,9421,9209
03.01.2018 13:45 - 03.01.2018 14:00,9381,9192
03.01.2018 14:00 - 03.01.2018 14:15,9402,9229
03.01.2018 14:15 - 03.01.2018 14:30,9407,9216
03.01.2018 14:30 - 03.01.2018 14:45,9405,9114
03.01.2018 14:45 - 03.01.2018 15:00,9411,9067
03.01.2018 15:00 - 03.01.2018 15:15,9437,9016
03.01.2018 15:15 - 03.01.2018 15:30,9460,9004
03.01.2018 15:30 - 03.01.2018 15:45,9494,8964
03.01.2018 15:45 - 03.01.2018 16:00,9542,8992
03.01.2018 16:00 - 03.01.2018 16:15,9622,9099
03.01.2018 16:15 - 03.01.2018 16:30,9742,9160
03.01.2018 16:30 - 03.01.2018 16:45,9867,9250
03.01.2018 16:45 - 03.01.2018 17:00,9956,9373
