Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
07.04.2018 22:30 - 07.04.2018 22:45,6599,6078
07.04.2018 22:45 - 07.04.2018 23:00,6493,5984
07.04.2018 23:00 - 07.04.2018 23:15,6415,5933
07.04.2018 23:15 - 07.04.2018 23:30,6280,5790
07.04.2018 23:30 - 07.04.2018 23:45,6141,5681
07.04.2018 23:45 - 08.04.2018 00:00,6049,5627
08.04.2018 00:00 - 08.04.2018 00:15,5981,5610
08.04.2018 00:15 - 08.04.2018 00:30,5868,5491
08.04.2018 00:30 - 08.04.2018 00:45,5767,5380
08.04.2018 00:45 - 08.04.2018 01:00,5666,5281
08.04.2018 01:00 - 08.04.2018 01:15,5665,5277
08.04.2018 01:15 - 08.04.2018 01:30,5582,5270
08.04.2018 01:30 - 08.04.2018 01:45,5501,5122
08.04.2018 01:45 - 08.04.2018 02:00,5386,5097
08.04.2018 02:00 - 08.04.2018 02:15,5503,5202
08.04.2018 02:15 - 08.04.2018 02:30,5451,5102
08.04.2018 02:30 - 08.04.2018 02:45,5393,5031
08.04.2018 02:45 - 08.04.2018 03:00,5410,4970
08.04.2018 03:00 - 08.04.2018 03:15,5390,4892
08.04.2018 03:15 - 08.04.2018 03:30,5348,4914
08.04.2018 03:30 - 08.04.2018 03:45,5319,4888
08.04.2018 03:45 - 08.04.2018 04:00,5310,4912
08.04.2018 04:00 - 08.04.2018 04:15,5347,4895
08.04.2018 04:15 - 08.04.2018 04:30,5349,4884
08.04.2018 04:30 - 08.04.2018 04:45,5364,4916
08.04.2018 04:45 - 08.04.2018 05:00,5383,4945
08.04.2018 05:00 - 08.04.2018 05:15,5401,5013
08.04.2018 05:15 - 08.04.2018 05:30,5452,5064
08.04.2018 05:30 - 08.04.2018 05:45,5493,5142
08.04.2018 05:45 - 08.04.2018 06:00,5529,5181
08.04.2018 06:00 - 08.04.2018 06:15,5572,5201
08.04.2018 06:15 - 08.04.2018 06:30,5629,5220
08.04.2018 06:30 - 08.04.2018 06:45,5712,5286
08.04.2018 06:45 - 08.04.2018 07:00,5793,5396
08.04.2018 07:00 - 08.04.2018 07:15,5939,5611
08.04.2018 07:15 - 08.04.2018 07:30,6034,5728
08.04.2018 07:30 - 08.04.2018 07:45,6137,5823
08.04.2018 07:45 - 08.04.2018 08:00,6220,5832
08.04.2018 08:00 - 08.04.2018 08:15,6318,5924
08.04.2018 08:15 - 08.04.2018 08:30,6401,5956
08.04.2018 08:30 - 08.04.2018 08:45,6482,6078
08.04.2018 08:45 - 08.04.2018 09:00,6558,6141
08.04.2018 09:00 - 08.04.2018 09:15,6635,6191
08.04.2018 09:15 - 08.04.2018 09:30,6694,6254
08.04.2018 09:30 - 08.04.2018 09:45,6736,6296
08.04.2018 09:45 - 08.04.2018 10:00,6781,6284
08.04.2018 10:00 - 08.04.2018 10:15,6817,6310
08.04.2018 10:15 - 08.04.2018 10:30,6859,6329
08.04.2018 10:30 - 08.04.2018 10:45,6872,6368
08.04.2018 10:45 - 08.04.2018 11:00,6916,6403
08.04.2018 11:00 - 08.04.2018 11:15,6985,6428
08.04.2018 11:15 - 08.04.2018 11:30,7013,6440
08.04.2018 11:30 - 08.04.2018 11:45,6984,6418
08.04.2018 11:45 - 08.04.2018 12:00,6911,6352
08.04.2018 12:00 - 08.04.2018 12:15,6858,6315
08.04.2018 12:15 - 08.04.2018 12:30,6750,6191
08.04.2018 12:30 - 08.04.2018 12:45,6656,6063
08.04.2018 12:45 - 08.04.2018 13:00,6576,5990
08.04.2018 13:00 - 08.04.2018 13:15,6524,5964
08.04.2018 13:15 - 08.04.2018 13:30,6458,5890
08.04.2018 13:30 - 08.04.2018 13:45,6399,5813
08.04.2018 13:45 - 08.04.2018 14:00,6343,5751
08.04.2018 14:00 - 08.04.2018 14:15,6292,5684
08.04.2018 14:15 - 08.04.2018 14:30,6250,5664
08.04.2018 14:30 - 08.04.2018 14:45,6218,5601
08.04.2018 14:45 - 08.04.2018 15:00,6179,5599
08.04.2018 15:00 - 08.04.2018 15:15,6178,5593
08.04.2018 15:15 - 08.04.2018 15:30,6155,5558
08.04.2018 15:30 - 08.04.2018 15:45,6148,5558
08.04.2018 15:45 - 08.04.2018 16:00,6156,5586
08.04.2018 16:00 - 08.04.2018 16:15,6155,5557
08.04.2018 16:15 - 08.04.2018 16:30,6173,5529
08.04.2018 16:30 - 08.04.2018 16:45,6212,5526
08.04.2018 16:45 - 08.04.2018 17:00,6272,5560
08.04.2018 17:00 - 08.04.2018 17:15,6382,5606
08.04.2018 17:15 - 08.04.2018 17:30,6481,5677
08.04.2018 17:30 - 08.04.2018 17:45,6576,5772
08.04.2018 17:45 - 08.04.2018 18:00,6691,5825
08.04.2018 18:00 - 08.04.2018 18:15,6816,5954
08.04.2018 18:15 - 08.04.2018 18:30,6902,6024
08.04.2018 18:30 - 08.04.2018 18:45,6969,6150
08.04.2018 18:45 - 08.04.2018 19:00,7021,6175
08.04.2018 19:00 - 08.04.2018 19:15,7010,6145
08.04.2018 19:15 - 08.04.2018 19:30,7028,6196
08.04.2018 19:30 - 08.04.2018 19:45,7046,6348
08.04.2018 19:45 - 08.04.2018 20:00,7038,6462
08.04.2018 20:00 - 08.04.2018 20:15,7037,6594
08.04.2018 20:15 - 08.04.2018 20:30,6967,6592
08.04.2018 20:30 - 08.04.2018 20:45,6879,6519
08.04.2018 20:45 - 08.04.2018 21:00,6778,6428
08.04.2018 21:00 - 08.04.2018 21:15,6740,6346
08.04.2018 21:15 - 08.04.2018 21:30,6647,6218
08.04.2018 21:30 - 08.04.2018 21:45,6548,6165
08.04.2018 21:45 - 08.04.2018 22:00,6522,6118
08.04.2018 22:00 - 08.04.2018 22:15,6699,6350
08.04.2018 22:15 - 08.04.2018 22:30,6645,6279
08.04.2018 22:30 - 08.04.2018 22:45,6533,6122
08.04.2018 22:45 - 08.04.2018 23:00,6425,6084
08.04.2018 23:00 - 08.04.2018 23:15,6397,6002
08.04.2018 23:15 - 08.04.2018 23:30,6264,5887
08.04.2018 23:30 - 08.04.2018 23:45,6129,5774
08.04.2018 23:45 - 09.04.2018 00:00,6074,5700
09.04.2018 00:00 - 09.04.2018 00:15,6685,5712
09.04.2018 00:15 - 09.04.2018 00:30,6584,5617
09.04.2018 00:30 - 09.04.2018 00:45,6488,5508
09.04.2018 00:45 - 09.04.2018 01:00,6387,5404
09.04.2018 01:00 - 09.04.2018 01:15,6400,5412
09.04.2018 01:15 - 09.04.2018 01:30,6330,5345
09.04.2018 01:30 - 09.04.2018 01:45,6274,5293
09.04.2018 01:45 - 09.04.2018 02:00,6217,5253
09.04.2018 02:00 - 09.04.2018 02:15,6275,5325
09.04.2018 02:15 - 09.04.2018 02:30,6233,5264
09.04.2018 02:30 - 09.04.2018 02:45,6175,5179
09.04.2018 02:45 - 09.04.2018 03:00,6122,5143
09.04.2018 03:00 - 09.04.2018 03:15,6106,5154
09.04.2018 03:15 - 09.04.2018 03:30,6084,5126
09.04.2018 03:30 - 09.04.2018 03:45,6073,5149
09.04.2018 03:45 - 09.04.2018 04:00,6086,5174
09.04.2018 04:00 - 09.04.2018 04:15,6144,5290
09.04.2018 04:15 - 09.04.2018 04:30,6196,5348
09.04.2018 04:30 - 09.04.2018 04:45,6277,5435
09.04.2018 04:45 - 09.04.2018 05:00,6395,5536
09.04.2018 05:00 - 09.04.2018 05:15,6599,5867
09.04.2018 05:15 - 09.04.2018 05:30,6797,6052
09.04.2018 05:30 - 09.04.2018 05:45,7026,6288
09.04.2018 05:45 - 09.04.2018 06:00,7277,6627
09.04.2018 06:00 - 09.04.2018 06:15,7580,7072
09.04.2018 06:15 - 09.04.2018 06:30,7870,7386
09.04.2018 06:30 - 09.04.2018 06:45,8100,7589
09.04.2018 06:45 - 09.04.2018 07:00,8291,7732
09.04.2018 07:00 - 09.04.2018 07:15,8658,8025
09.04.2018 07:15 - 09.04.2018 07:30,8804,8142
09.04.2018 07:30 - 09.04.2018 07:45,8931,8216
09.04.2018 07:45 - 09.04.2018 08:00,9032,8229
09.04.2018 08:00 - 09.04.2018 08:15,9142,8292
09.04.2018 08:15 - 09.04.2018 08:30,9188,8289
09.04.2018 08:30 - 09.04.2018 08:45,9239,8350
09.04.2018 08:45 - 09.04.2018 09:00,9252,8376
09.04.2018 09:00 - 09.04.2018 09:15,9188,8280
09.04.2018 09:15 - 09.04.2018 09:30,9200,8291
09.04.2018 09:30 - 09.04.2018 09:45,9222,8296
09.04.2018 09:45 - 09.04.2018 10:00,9216,8320
09.04.2018 10:00 - 09.04.2018 10:15,9215,8287
09.04.2018 10:15 - 09.04.2018 10:30,9224,8305
09.04.2018 10:30 - 09.04.2018 10:45,9215,8316
09.04.2018 10:45 - 09.04.2018 11:00,9223,8299
09.04.2018 11:00 - 09.04.2018 11:15,9212,8329
09.04.2018 11:15 - 09.04.2018 11:30,9207,8350
09.04.2018 11:30 - 09.04.2018 11:45,9176,8340
09.04.2018 11:45 - 09.04.2018 12:00,9117,8320
09.04.2018 12:00 - 09.04.2018 12:15,9032,8249
09.04.2018 12:15 - 09.04.2018 12:30,8948,8126
09.04.2018 12:30 - 09.04.2018 12:45,8893,8093
09.04.2018 12:45 - 09.04.2018 13:00,8871,8103
09.04.2018 13:00 - 09.04.2018 13:15,8885,8094
09.04.2018 13:15 - 09.04.2018 13:30,8874,8123
09.04.2018 13:30 - 09.04.2018 13:45,8835,8076
09.04.2018 13:45 - 09.04.2018 14:00,8784,7985
09.04.2018 14:00 - 09.04.2018 14:15,8763,7995
09.04.2018 14:15 - 09.04.2018 14:30,8754,7994
09.04.2018 14:30 - 09.04.2018 14:45,8727,7898
09.04.2018 14:45 - 09.04.2018 15:00,8703,7923
09.04.2018 15:00 - 09.04.2018 15:15,8698,7896
09.04.2018 15:15 - 09.04.2018 15:30,8678,7848
09.04.2018 15:30 - 09.04.2018 15:45,8660,7807
09.04.2018 15:45 - 09.04.2018 16:00,8647,7804
09.04.2018 16:00 - 09.04.2018 16:15,8618,7789
09.04.2018 16:15 - 09.04.2018 16:30,8612,7790
09.04.2018 16:30 - 09.04.2018 16:45,8603,7754
09.04.2018 16:45 - 09.04.2018 17:00,8617,7768
09.04.2018 17:00 - 09.04.2018 17:15,8645,7860
09.04.2018 17:15 - 09.04.2018 17:30,8708,7793
09.04.2018 17:30 - 09.04.2018 17:45,8791,7820
09.04.2018 17:45 - 09.04.2018 18:00,8878,7854
09.04.2018 18:00 - 09.04.2018 18:15,8953,7837
09.04.2018 18:15 - 09.04.2018 18:30,9018,7875
09.04.2018 18:30 - 09.04.2018 18:45,9062,7898
09.04.2018 18:45 - 09.04.2018 19:00,9064,7902
09.04.2018 19:00 - 09.04.2018 19:15,8995,7756
09.04.2018 19:15 - 09.04.2018 19:30,8926,7796
09.04.2018 19:30 - 09.04.2018 19:45,8850,7832
09.04.2018 19:45 - 09.04.2018 20:00,8757,7891
09.04.2018 20:00 - 09.04.2018 20:15,8599,7902
09.04.2018 20:15 - 09.04.2018 20:30,8448,7792
09.04.2018 20:30 - 09.04.2018 20:45,8315,7705
09.04.2018 20:45 - 09.04.2018 21:00,8162,7651
09.04.2018 21:00 - 09.04.2018 21:15,8022,7468
09.04.2018 21:15 - 09.04.2018 21:30,7871,7280
09.04.2018 21:30 - 09.04.2018 21:45,7704,7180
09.04.2018 21:45 - 09.04.2018 22:00,7596,6972
09.04.2018 22:00 - 09.04.2018 22:15,7690,7028
09.04.2018 22:15 - 09.04.2018 22:30,7606,6950
09.04.2018 22:30 - 09.04.2018 22:45,7436,6862
09.04.2018 22:45 - 09.04.2018 23:00,7288,6703
09.04.2018 23:00 - 09.04.2018 23:15,7202,6577
09.04.2018 23:15 - 09.04.2018 23:30,7054,6432
09.04.2018 23:30 - 09.04.2018 23:45,6922,6353
09.04.2018 23:45 - 10.04.2018 00:00,6831,6305
10.04.2018 00:00 - 10.04.2018 00:15,6713,6159
10.04.2018 00:15 - 10.04.2018 00:30,6584,5996
10.04.2018 00:30 - 10.04.2018 00:45,6488,5884
10.04.2018 00:45 - 10.04.2018 01:00,6387,5814
10.04.2018 01:00 - 10.04.2018 01:15,6400,5745
10.04.2018 01:15 - 10.04.2018 01:30,6330,5658
10.04.2018 01:30 - 10.04.2018 01:45,6274,5584
10.04.2018 01:45 - 10.04.2018 02:00,6217,5544
10.04.2018 02:00 - 10.04.2018 02:15,6275,5600
10.04.2018 02:15 - 10.04.2018 02:30,6233,5587
10.04.2018 02:30 - 10.04.2018 02:45,6175,5498
10.04.2018 02:45 - 10.04.2018 03:00,6122,5450
10.04.2018 03:00 - 10.04.2018 03:15,6106,5509
10.04.2018 03:15 - 10.04.2018 03:30,6084,5445
10.04.2018 03:30 - 10.04.2018 03:45,6073,5423
10.04.2018 03:45 - 10.04.2018 04:00,6086,5472
10.04.2018 04:00 - 10.04.2018 04:15,6144,5550
10.04.2018 04:15 - 10.04.2018 04:30,6196,5566
10.04.2018 04:30 - 10.04.2018 04:45,6277,5632
10.04.2018 04:45 - 10.04.2018 05:00,6395,5698
10.04.2018 05:00 - 10.04.2018 05:15,6599,6000
10.04.2018 05:15 - 10.04.2018 05:30,6797,6166
10.04.2018 05:30 - 10.04.2018 05:45,7026,6346
10.04.2018 05:45 - 10.04.2018 06:00,7277,6618
10.04.2018 06:00 - 10.04.2018 06:15,7580,7073
10.04.2018 06:15 - 10.04.2018 06:30,7870,7373
10.04.2018 06:30 - 10.04.2018 06:45,8100,7575
10.04.2018 06:45 - 10.04.2018 07:00,8291,7732
10.04.2018 07:00 - 10.04.2018 07:15,8658,8126
10.04.2018 07:15 - 10.04.2018 07:30,8804,8235
10.04.2018 07:30 - 10.04.2018 07:45,8931,8321
10.04.2018 07:45 - 10.04.2018 08:00,9032,8404
10.04.2018 08:00 - 10.04.2018 08:15,9142,8482
10.04.2018 08:15 - 10.04.2018 08:30,9188,8455
10.04.2018 08:30 - 10.04.2018 08:45,9239,8500
10.04.2018 08:45 - 10.04.2018 09:00,9252,8549
10.04.2018 09:00 - 10.04.2018 09:15,9188,8411
10.04.2018 09:15 - 10.04.2018 09:30,9200,8484
10.04.2018 09:30 - 10.04.2018 09:45,9222,8438
10.04.2018 09:45 - 10.04.2018 10:00,9216,8426
10.04.2018 10:00 - 10.04.2018 10:15,9215,8364
10.04.2018 10:15 - 10.04.2018 10:30,9224,8391
10.04.2018 10:30 - 10.04.2018 10:45,9215,8458
10.04.2018 10:45 - 10.04.2018 11:00,9223,8461
10.04.2018 11:00 - 10.04.2018 11:15,9212,8466
10.04.2018 11:15 - 10.04.2018 11:30,9207,8492
10.04.2018 11:30 - 10.04.2018 11:45,9176,8513
10.04.2018 11:45 - 10.04.2018 12:00,9117,8487
10.04.2018 12:00 - 10.04.2018 12:15,9032,8339
10.04.2018 12:15 - 10.04.2018 12:30,8948,8266
10.04.2018 12:30 - 10.04.2018 12:45,8893,8213
10.04.2018 12:45 - 10.04.2018 13:00,8871,8218
10.04.2018 13:00 - 10.04.2018 13:15,8885,8284
10.04.2018 13:15 - 10.04.2018 13:30,8874,8272
10.04.2018 13:30 - 10.04.2018 13:45,8835,8239
10.04.2018 13:45 - 10.04.2018 14:00,8784,8182
10.04.2018 14:00 - 10.04.2018 14:15,8763,8154
10.04.2018 14:15 - 10.04.2018 14:30,8754,8114
10.04.2018 14:30 - 10.04.2018 14:45,8727,8144
10.04.2018 14:45 - 10.04.2018 15:00,8703,8100
10.04.2018 15:00 - 10.04.2018 15:15,8698,8033
10.04.2018 15:15 - 10.04.2018 15:30,8678,7984
10.04.2018 15:30 - 10.04.2018 15:45,8660,7930
10.04.2018 15:45 - 10.04.2018 16:00,8647,7887
10.04.2018 16:00 - 10.04.2018 16:15,8618,7909
10.04.2018 16:15 - 10.04.2018 16:30,8612,7891
10.04.2018 16:30 - 10.04.2018 16:45,8603,7853
10.04.2018 16:45 - 10.04.2018 17:00,8617,7890
10.04.2018 17:00 - 10.04.2018 17:15,8645,7859
10.04.2018 17:15 - 10.04.2018 17:30,8708,7921
10.04.2018 17:30 - 10.04.2018 17:45,8791,7956
10.04.2018 17:45 - 10.04.2018 18:00,8878,7967
10.04.2018 18:00 - 10.04.2018 18:15,8953,7974
10.04.2018 18:15 - 10.04.2018 18:30,9018,8053
10.04.2018 18:30 - 10.04.2018 18:45,9062,8027
10.04.2018 18:45 - 10.04.2018 19:00,9064,8044
10.04.2018 19:00 - 10.04.2018 19:15,8995,7900
10.04.2018 19:15 - 10.04.2018 19:30,8926,7905
10.04.2018 19:30 - 10.04.2018 19:45,8850,7954
10.04.2018 19:45 - 10.04.2018 20:00,8757,7999
10.04.2018 20:00 - 10.04.2018 20:15,8599,7975
10.04.2018 20:15 - 10.04.2018 20:30,8448,7910
10.04.2018 20:30 - 10.04.2018 20:45,8315,7803
10.04.2018 20:45 - 10.04.2018 21:00,8162,7661
10.04.2018 21:00 - 10.04.2018 21:15,8022,7494
10.04.2018 21:15 - 10.04.2018 21:30,7871,7349
10.04.2018 21:30 - 10.04.2018 21:45,7704,7204
10.04.2018 21:45 - 10.04.2018 22:00,7596,7113
10.04.2018 22:00 - 10.04.2018 22:15,7690,7132
10.04.2018 22:15 - 10.04.2018 22:30,7606,6959
10.04.2018 22:30 - 10.04.2018 22:45,7436,6857
10.04.2018 22:45 - 10.04.2018 23:00,7288,6697
10.04.2018 23:00 - 10.04.2018 23:15,7202,6525
10.04.2018 23:15 - 10.04.2018 23:30,7054,6370
10.04.2018 23:30 - 10.04.2018 23:45,6922,6230
10.04.2018 23:45 - 11.04.2018 00:00,6831,6170
11.04.2018 00:00 - 11.04.2018 00:15,6073,6224
11.04.2018 00:15 - 11.04.2018 00:30,5969,6126
11.04.2018 00:30 - 11.04.2018 00:45,5869,6040
11.04.2018 00:45 - 11.04.2018 01:00,5759,5926
11.04.2018 01:00 - 11.04.2018 01:15,5776,5860
11.04.2018 01:15 - 11.04.2018 01:30,5706,5840
11.04.2018 01:30 - 11.04.2018 01:45,5666,5774
11.04.2018 01:45 - 11.04.2018 02:00,5617,5736
11.04.2018 02:00 - 11.04.2018 02:15,5686,5776
11.04.2018 02:15 - 11.04.2018 02:30,5648,5730
11.04.2018 02:30 - 11.04.2018 02:45,5591,5647
11.04.2018 02:45 - 11.04.2018 03:00,5536,5566
11.04.2018 03:00 - 11.04.2018 03:15,5524,5540
11.04.2018 03:15 - 11.04.2018 03:30,5504,5548
11.04.2018 03:30 - 11.04.2018 03:45,5479,5553
11.04.2018 03:45 - 11.04.2018 04:00,5497,5517
11.04.2018 04:00 - 11.04.2018 04:15,5567,5578
11.04.2018 04:15 - 11.04.2018 04:30,5613,5612
11.04.2018 04:30 - 11.04.2018 04:45,5692,5682
11.04.2018 04:45 - 11.04.2018 05:00,5814,5748
11.04.2018 05:00 - 11.04.2018 05:15,6030,6030
11.04.2018 05:15 - 11.04.2018 05:30,6239,6201
11.04.2018 05:30 - 11.04.2018 05:45,6459,6382
11.04.2018 05:45 - 11.04.2018 06:00,6718,6690
11.04.2018 06:00 - 11.04.2018 06:15,7093,7102
11.04.2018 06:15 - 11.04.2018 06:30,7371,7396
11.04.2018 06:30 - 11.04.2018 06:45,7601,7600
11.04.2018 06:45 - 11.04.2018 07:00,7785,7741
11.04.2018 07:00 - 11.04.2018 07:15,8097,8108
11.04.2018 07:15 - 11.04.2018 07:30,8238,8246
11.04.2018 07:30 - 11.04.2018 07:45,8370,8303
11.04.2018 07:45 - 11.04.2018 08:00,8470,8355
11.04.2018 08:00 - 11.04.2018 08:15,8589,8406
11.04.2018 08:15 - 11.04.2018 08:30,8635,8369
11.04.2018 08:30 - 11.04.2018 08:45,8691,8400
11.04.2018 08:45 - 11.04.2018 09:00,8686,8436
11.04.2018 09:00 - 11.04.2018 09:15,8614,8275
11.04.2018 09:15 - 11.04.2018 09:30,8635,8275
11.04.2018 09:30 - 11.04.2018 09:45,8665,8316
11.04.2018 09:45 - 11.04.2018 10:00,8664,8297
11.04.2018 10:00 - 11.04.2018 10:15,8638,8271
11.04.2018 10:15 - 11.04.2018 10:30,8652,8272
11.04.2018 10:30 - 11.04.2018 10:45,8648,8312
11.04.2018 10:45 - 11.04.2018 11:00,8648,8266
11.04.2018 11:00 - 11.04.2018 11:15,8647,8176
11.04.2018 11:15 - 11.04.2018 11:30,8643,8190
11.04.2018 11:30 - 11.04.2018 11:45,8624,8227
11.04.2018 11:45 - 11.04.2018 12:00,8575,8152
11.04.2018 12:00 - 11.04.2018 12:15,8456,8081
11.04.2018 12:15 - 11.04.2018 12:30,8350,7936
11.04.2018 12:30 - 11.04.2018 12:45,8297,7888
11.04.2018 12:45 - 11.04.2018 13:00,8271,7891
11.04.2018 13:00 - 11.04.2018 13:15,8271,7945
11.04.2018 13:15 - 11.04.2018 13:30,8257,7919
11.04.2018 13:30 - 11.04.2018 13:45,8223,7882
11.04.2018 13:45 - 11.04.2018 14:00,8176,7852
11.04.2018 14:00 - 11.04.2018 14:15,8158,7860
11.04.2018 14:15 - 11.04.2018 14:30,8141,7839
11.04.2018 14:30 - 11.04.2018 14:45,8099,7814
11.04.2018 14:45 - 11.04.2018 15:00,8070,7808
11.04.2018 15:00 - 11.04.2018 15:15,8072,7790
11.04.2018 15:15 - 11.04.2018 15:30,8041,7806
11.04.2018 15:30 - 11.04.2018 15:45,8008,7754
11.04.2018 15:45 - 11.04.2018 16:00,7986,7722
11.04.2018 16:00 - 11.04.2018 16:15,7943,7694
11.04.2018 16:15 - 11.04.2018 16:30,7930,7734
11.04.2018 16:30 - 11.04.2018 16:45,7899,7746
11.04.2018 16:45 - 11.04.2018 17:00,7888,7749
11.04.2018 17:00 - 11.04.2018 17:15,7889,7743
11.04.2018 17:15 - 11.04.2018 17:30,7916,7769
11.04.2018 17:30 - 11.04.2018 17:45,7970,7860
11.04.2018 17:45 - 11.04.2018 18:00,8018,7908
11.04.2018 18:00 - 11.04.2018 18:15,8044,7868
11.04.2018 18:15 - 11.04.2018 18:30,8100,7922
11.04.2018 18:30 - 11.04.2018 18:45,8155,7945
11.04.2018 18:45 - 11.04.2018 19:00,8175,7990
11.04.2018 19:00 - 11.04.2018 19:15,8159,7864
11.04.2018 19:15 - 11.04.2018 19:30,8155,7846
11.04.2018 19:30 - 11.04.2018 19:45,8163,7931
11.04.2018 19:45 - 11.04.2018 20:00,8160,7918
11.04.2018 20:00 - 11.04.2018 20:15,8055,7979
11.04.2018 20:15 - 11.04.2018 20:30,7957,7949
11.04.2018 20:30 - 11.04.2018 20:45,7869,7790
11.04.2018 20:45 - 11.04.2018 21:00,7723,7597
11.04.2018 21:00 - 11.04.2018 21:15,7568,7448
11.04.2018 21:15 - 11.04.2018 21:30,7426,7260
11.04.2018 21:30 - 11.04.2018 21:45,7262,7157
11.04.2018 21:45 - 11.04.2018 22:00,7144,7032
11.04.2018 22:00 - 11.04.2018 22:15,7199,7097
11.04.2018 22:15 - 11.04.2018 22:30,7105,7010
11.04.2018 22:30 - 11.04.2018 22:45,6939,6844
11.04.2018 22:45 - 11.04.2018 23:00,6781,6721
11.04.2018 23:00 - 11.04.2018 23:15,6687,6599
11.04.2018 23:15 - 11.04.2018 23:30,6535,6466
11.04.2018 23:30 - 11.04.2018 23:45,6404,6291
11.04.2018 23:45 - 12.04.2018 00:00,6361,6150
12.04.2018 00:00 - 12.04.2018 00:15,6086,6206
12.04.2018 00:15 - 12.04.2018 00:30,5979,6095
12.04.2018 00:30 - 12.04.2018 00:45,5885,5913
12.04.2018 00:45 - 12.04.2018 01:00,5768,5832
12.04.2018 01:00 - 12.04.2018 01:15,5792,5802
12.04.2018 01:15 - 12.04.2018 01:30,5726,5754
12.04.2018 01:30 - 12.04.2018 01:45,5680,5728
12.04.2018 01:45 - 12.04.2018 02:00,5630,5687
12.04.2018 02:00 - 12.04.2018 02:15,5699,5708
12.04.2018 02:15 - 12.04.2018 02:30,5650,5627
12.04.2018 02:30 - 12.04.2018 02:45,5591,5572
12.04.2018 02:45 - 12.04.2018 03:00,5544,5499
12.04.2018 03:00 - 12.04.2018 03:15,5532,5538
12.04.2018 03:15 - 12.04.2018 03:30,5518,5493
12.04.2018 03:30 - 12.04.2018 03:45,5497,5466
12.04.2018 03:45 - 12.04.2018 04:00,5509,5440
12.04.2018 04:00 - 12.04.2018 04:15,5575,5516
12.04.2018 04:15 - 12.04.2018 04:30,5630,5544
12.04.2018 04:30 - 12.04.2018 04:45,5703,5636
12.04.2018 04:45 - 12.04.2018 05:00,5820,5693
12.04.2018 05:00 - 12.04.2018 05:15,6040,5880
12.04.2018 05:15 - 12.04.2018 05:30,6249,6101
12.04.2018 05:30 - 12.04.2018 05:45,6460,6319
12.04.2018 05:45 - 12.04.2018 06:00,6716,6551
12.04.2018 06:00 - 12.04.2018 06:15,7081,6954
12.04.2018 06:15 - 12.04.2018 06:30,7363,7268
12.04.2018 06:30 - 12.04.2018 06:45,7589,7420
12.04.2018 06:45 - 12.04.2018 07:00,7776,7576
12.04.2018 07:00 - 12.04.2018 07:15,8097,7968
12.04.2018 07:15 - 12.04.2018 07:30,8232,8057
12.04.2018 07:30 - 12.04.2018 07:45,8350,8170
12.04.2018 07:45 - 12.04.2018 08:00,8446,8263
12.04.2018 08:00 - 12.04.2018 08:15,8570,8252
12.04.2018 08:15 - 12.04.2018 08:30,8611,8278
12.04.2018 08:30 - 12.04.2018 08:45,8662,8344
12.04.2018 08:45 - 12.04.2018 09:00,8656,8330
12.04.2018 09:00 - 12.04.2018 09:15,8580,8229
12.04.2018 09:15 - 12.04.2018 09:30,8596,8246
12.04.2018 09:30 - 12.04.2018 09:45,8624,8262
12.04.2018 09:45 - 12.04.2018 10:00,8621,8222
12.04.2018 10:00 - 12.04.2018 10:15,8575,8255
12.04.2018 10:15 - 12.04.2018 10:30,8580,8261
12.04.2018 10:30 - 12.04.2018 10:45,8579,8281
12.04.2018 10:45 - 12.04.2018 11:00,8577,8303
12.04.2018 11:00 - 12.04.2018 11:15,8567,8335
12.04.2018 11:15 - 12.04.2018 11:30,8572,8383
12.04.2018 11:30 - 12.04.2018 11:45,8559,8404
12.04.2018 11:45 - 12.04.2018 12:00,8516,8360
12.04.2018 12:00 - 12.04.2018 12:15,8393,8243
12.04.2018 12:15 - 12.04.2018 12:30,8284,8095
12.04.2018 12:30 - 12.04.2018 12:45,8231,8089
12.04.2018 12:45 - 12.04.2018 13:00,8201,8137
12.04.2018 13:00 - 12.04.2018 13:15,8201,8193
12.04.2018 13:15 - 12.04.2018 13:30,8185,8190
12.04.2018 13:30 - 12.04.2018 13:45,8146,8145
12.04.2018 13:45 - 12.04.2018 14:00,8100,8131
12.04.2018 14:00 - 12.04.2018 14:15,8081,8089
12.04.2018 14:15 - 12.04.2018 14:30,8064,8066
12.04.2018 14:30 - 12.04.2018 14:45,8023,8106
12.04.2018 14:45 - 12.04.2018 15:00,7996,8057
12.04.2018 15:00 - 12.04.2018 15:15,7992,8098
12.04.2018 15:15 - 12.04.2018 15:30,7961,8061
12.04.2018 15:30 - 12.04.2018 15:45,7927,7984
12.04.2018 15:45 - 12.04.2018 16:00,7907,7936
12.04.2018 16:00 - 12.04.2018 16:15,7875,7956
12.04.2018 16:15 - 12.04.2018 16:30,7866,7900
12.04.2018 16:30 - 12.04.2018 16:45,7835,7854
12.04.2018 16:45 - 12.04.2018 17:00,7826,7850
12.04.2018 17:00 - 12.04.2018 17:15,7823,7838
12.04.2018 17:15 - 12.04.2018 17:30,7852,7872
12.04.2018 17:30 - 12.04.2018 17:45,7904,7959
12.04.2018 17:45 - 12.04.2018 18:00,7949,7974
12.04.2018 18:00 - 12.04.2018 18:15,7985,7905
12.04.2018 18:15 - 12.04.2018 18:30,8040,7871
