Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Great Britain,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
8293,157.0962575,295.5684603,36.69462643,565.2471559,470.366118,391.8245122,657.8749978,453.0646578,62.494876,7.076942862,117.0389513,2789.68736,1023.806564,2648.306915,1182.913173,510.5294473,2176.568165,3056.912337,43.05273881,100.1604639,2.527179201,172.4136251,58.13153774,117.1108991,499.5045183,1070.330713,1807.513699,1190.271968,337.2965534,286.616959,111.4189125,18119.17444,223.4467191,310.2640761,3490.299709
8294,128.566769,252.8814243,25.01632899,485.9494866,436.5835222,359.389776,565.5124043,365.7434866,53.89200022,6.357379259,61.94076422,2412.87591,863.9186264,2296.259136,1049.456836,464.1810635,2025.864968,2768.270885,30.24362414,73.63464641,2.140083501,118.1090084,48.37148328,89.30589308,370.7640205,733.3214434,1627.580277,1093.1501,292.5540613,234.5935157,97.27099783,16007.94246,113.2331347,293.0306438,2898.88061
8295,82.69222322,159.5049979,10.59584907,331.1083713,337.6671911,252.7343811,401.3535587,200.339144,34.8621112,2.793316346,11.11554389,1541.584229,556.3872452,1459.1656,795.6868648,295.7799829,1351.066559,2131.485272,13.02647694,37.20211076,1.721121313,66.41104917,32.09281505,45.04966705,121.3554604,331.017443,1184.864981,803.4004833,186.7513059,136.2820514,68.10521871,11551.19987,21.7682744,212.9683801,1802.101637
8296,29.3717961,59.57750629,1.163488596,130.870595,179.5057779,103.0980887,200.0231641,47.24082865,6.978854223,0.128321525,0.070486643,515.9868149,215.3739741,387.7166514,484.6968603,78.60973149,466.9878607,1172.188993,1.847619622,7.687048015,0.930790422,21.2910347,12.04948146,2.681821184,3.519931323,37.69298357,675.5892415,410.2421861,54.7097611,28.59707559,29.12493641,6033.826178,0.921888789,94.09165694,562.0058322
8297,0.522301041,1.930495164,0,3.913045149,34.85174887,4.086080912,26.53508794,0.090391347,0,0,0,11.15643134,11.438767,0.898207076,159.9669299,0.137523745,13.24019989,227.2170372,0,0.000931182,0.119965674,0.084618147,0.237563401,0,0,0,218.6500587,62.77601207,0.087095812,0.000856705,1.401700565,1357.516389,0,14.917841,13.18615867
8298,0,0,0,0,0.000255796,0,0,0,0,0,0,0,0,0,2.314963757,0,0,0.102535049,0,0,0,0,0,0,0,0,4.118487129,0,0,0,0,20.88675268,0,0,0
8299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023947229,0,0,0
8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8311,0,0,0,0,0,0,0.075565877,0,0,0,0,0.062395588,0,0,0,0,0,0,0,0,0,0.004103442,0,0,0,0,0,0,0,0,0,0,0,0,0
8312,18.56183243,0.36460638,0.37381488,24.19766801,1.803952872,6.078433607,48.15120289,0.238727151,0,0,0,87.32437643,0,0,6.211935217,8.987192669,0,76.85570604,0,0,0,33.60720244,4.309594924,0.769037639,0,2.259318094,2.449598736,0.465322905,40.45542398,3.165439829,0.311464872,223.0517287,0,0,33.18692495
8313,79.46553719,36.11633853,19.89255443,198.0101168,121.8886421,96.76153156,179.6574151,34.34353747,0.129411785,2.01E-05,0,807.5291209,53.53246734,22.65562942,298.0679335,119.0881845,0.443095876,714.010589,0.02470823,0.107744345,0.01794842,123.7370923,23.95603324,69.78336996,0,132.9903368,309.8198921,138.4905439,222.0661354,54.6473587,16.91706677,3006.089977,0.466346036,23.83174108,519.3102578
