Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
470,47.61712114,167.6863282,237.6521305,141.3469822,405.8823598,125.1802208,466.0614664,115.1787156,65.17403527,27.02786136,103.8127097,3221.025792,1381.553941,1023.807822,393.8811719,1986.388284,126.8791056,99.200558,23.56566819,77.72928966,11.57613923,332.5026595,851.9511657,513.1207474,1659.539295,732.8918294,283.0473571,131.9925969,52.85667466,15754.90462,366.7289666,239.725364,1403.769739
471,28.87643677,119.2523653,171.0059513,100.2117387,218.0361013,78.06729079,254.9212088,75.58262947,41.46210917,5.386955544,5.280703362,2643.616081,1019.93269,618.3420304,261.8780527,1554.502358,38.7186574,39.45548269,18.57499184,46.7587492,8.402243031,256.0889801,376.3283127,264.0898834,1535.015064,396.9640286,170.8289791,91.66445733,40.27524126,13622.16742,84.99720288,186.2930916,513.9780514
472,12.56396617,56.80381005,94.14507368,40.82225184,53.54173249,30.54581349,48.2526034,30.79436687,14.4242445,0,0,1716.181411,496.6489844,219.3740696,86.4321238,874.2519914,0.562446517,1.530410983,10.66247818,17.30721266,3.576141125,136.2720412,45.40728718,55.92374288,1226.50396,88.95899529,59.88372425,30.92717056,18.32310156,10007.74898,3.282673802,106.9926675,34.05253931
473,1.259314653,6.593861307,24.64852223,3.386980315,0.122005819,2.325617556,0,1.271517025,0.275714243,0,0,677.3001789,66.07939404,11.37157154,1.306600411,215.3098077,0,0,2.405429614,0.681006228,0.239977687,23.88862592,0.003933611,0.067935523,884.4220617,0.094663312,1.633324231,0.260358536,2.068681621,5935.406646,5.98E-05,25.82031809,0
474,0,0,0.001425508,0,0,0,0,0,0,0,0,42.54964238,0,0,0,1.556298722,0,0,0,0,0,0,0,0,385.4471628,0,0,0,0,1915.747456,0,0.001128745,0
475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89594552,0,0,0,0,49.07112992,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290426229,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,2.306060461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70E-05
487,0.076479172,0,0,0,4.277347579,0,111.1822044,0,0,0,0,0,0,17.24447655,0,0.001082933,0,0,0,0.343836115,3.51E-06,0,0,0,0,3.852128412,0.08934129,0,0,0,0,0,42.56296949
488,18.62655463,4.779154764,0,15.59885001,83.022938,9.888507798,313.3859641,4.672280192,0,0.657309597,0.010650773,0.708293142,0.657160462,245.0255726,25.75128413,104.8110925,2.406067657,1.27524006,0,20.92435909,2.214791169,0,0,23.37068622,0,156.8011761,45.18469813,9.672977099,1.600975413,0,0,0.048073857,382.8207223
489,61.54040685,79.53607498,5.165760411,83.34692979,237.7260877,79.73595177,541.2046793,93.212831,3.279762386,16.42909172,33.19990038,156.0015218,202.2899503,666.4483463,154.8667108,724.4722945,25.76699815,16.27736456,1.040186811,61.77677407,11.53019755,6.786444604,0.026535502,290.9097468,18.4466687,473.2651469,175.5270841,74.56421686,23.06492384,732.6263006,3.911065348,37.20348735,941.0649662
490,100.8236306,187.7725595,48.23388111,156.1078349,428.1946497,165.9225115,675.8381474,248.5454843,39.2333165,39.56978191,218.9314038,938.7962479,873.3298207,1144.954829,314.0228616,1571.912612,51.18326847,37.9003478,6.349744467,109.4886412,25.79880503,75.76831617,98.54961599,732.1724185,398.3757563,802.7015647,320.9178675,158.4006233,49.395255,5553.773576,98.00782038,132.7004099,1495.667429
491,114.8719077,276.158869,110.2094218,199.8595013,579.5414886,223.265527,744.2423619,398.0820554,88.83255092,54.70655327,453.6101785,1923.037632,1608.145267,1550.475543,453.3761505,2136.584222,64.60226738,57.49922391,12.16795644,143.8941118,41.03102391,165.9613925,558.49847,1156.438269,1045.312375,1094.792702,464.9058494,226.5350318,69.23068042,12382.86207,463.6162371,208.7968483,1870.373238
492,114.1356248,313.5715596,167.8767963,223.7639473,631.9349978,243.7099958,729.3219039,494.147312,121.1976666,56.15433224,530.442296,2727.543463,2134.652943,1734.954875,509.7513617,2349.976246,65.66241008,67.97062705,17.30504294,170.430763,44.01723304,239.3538437,971.782335,1370.582568,1495.727807,1187.52633,529.4919743,245.0178319,76.9661263,18029.02128,750.9965298,225.7521785,1937.286717
493,118.9450245,295.5684603,202.3264842,214.9243732,578.2369204,246.8682292,635.5844646,499.9772364,130.1991321,45.04002543,357.7619591,3140.610215,2257.190559,1678.27486,474.0708001,2302.323058,55.90667233,66.33542623,19.94042561,162.8286102,32.63656034,285.2530885,1031.493912,1330.901483,1585.1931,1063.231223,489.3414112,216.2554925,74.60345722,20469.4914,700.1139781,224.7701443,1658.112391
494,88.31860238,259.8376999,202.227774,181.4761503,448.6102425,214.8027176,471.9778111,420.1370178,112.9463481,24.93863178,114.4348009,3020.434266,1999.779368,1403.393622,366.9799474,1966.467733,37.96841983,48.41783482,19.43753858,143.272757,17.21026339,289.1803604,797.3964585,1043.846587,1387.745989,797.5768742,399.4957299,167.1446893,62.54276837,19179.93835,377.6972434,192.0097143,1091.563196
495,39.24830625,184.2182367,168.7966072,125.5101008,249.7953128,147.9265394,258.4597464,270.8378932,73.82492364,5.128085551,7.861842719,2443.215207,1443.287509,948.1072376,212.3174875,1401.190016,13.65796109,20.57561058,16.37883961,99.77594566,8.670256577,234.3392454,376.369575,595.6650192,1078.988227,439.85639,245.4833202,103.0582022,41.83834078,15631.56626,93.02497715,147.626707,421.1986434
496,14.69363786,85.72900047,100.8976907,51.79069416,66.2141664,68.99577103,50.76135896,104.5993757,26.12825197,1.30E-13,0,1593.728151,714.8863959,392.9189691,69.10216682,802.4749265,0.384674198,0.983924124,9.760209726,40.51715255,3.538795644,138.068846,55.46044824,146.5258813,842.2694422,103.1406766,84.03377348,35.21046995,20.52859155,11249.03176,7.27452331,82.84648863,31.77208792
497,0.96758607,8.375001916,27.11126163,4.999368517,0.23369902,7.135420185,0,4.085727505,0.541235519,0,0,638.5984285,93.38822511,20.96266056,1.62298294,211.4208723,0,0,2.474267847,1.392514742,0.246180018,27.70373858,0.015214912,0.559267029,596.8649029,0.248402001,2.052298489,0.405312181,2.493944085,6479.169649,0.001065044,19.84484236,0
498,0,0,0.004943895,0,0,0,0,0,0,0,0,36.57208843,0,0,0,1.738289924,0,0,0,0,0,1.57E-08,0,0,306.538277,0,0,0,0,2067.279076,0,0.00291425,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56992637,0,0,0,0,61.86796139,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331729293,0,0,0
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,2.673347143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128649
511,0.086908264,0,0,0,5.439795246,0,109.6693105,0,0,0,0,0,0,26.73173782,0,0.012436655,0,0,0,0.513216919,5.18E-05,0,0,0,0,1.727089707,0.107320844,0,0,0,0,0,75.13216291
