Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
FYR Macedonia (MK),02.01.2018 10:00 - 02.01.2018 11:00 (CET),0,420,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 11:00 - 02.01.2018 12:00 (CET),0,423,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 12:00 - 02.01.2018 13:00 (CET),0,424,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 13:00 - 02.01.2018 14:00 (CET),0,433,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 14:00 - 02.01.2018 15:00 (CET),0,450,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 15:00 - 02.01.2018 16:00 (CET),0,464,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 16:00 - 02.01.2018 17:00 (CET),0,479,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 17:00 - 02.01.2018 18:00 (CET),0,509,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 18:00 - 02.01.2018 19:00 (CET),0,570,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 19:00 - 02.01.2018 20:00 (CET),0,543,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 20:00 - 02.01.2018 21:00 (CET),0,548,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0
FYR Macedonia (MK),02.01.2018 21:00 - 02.01.2018 22:00 (CET),0,536,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,3
FYR Macedonia (MK),02.01.2018 22:00 - 02.01.2018 23:00 (CET),0,532,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,23
FYR Macedonia (MK),02.01.2018 23:00 - 03.01.2018 00:00 (CET),0,507,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,36
