Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Serbia (RS),02.01.2018 11:00 - 02.01.2018 12:00 (CET),5,2917,0,2,0,0,0,0,0,0,1727,27,0,0,61,0,0,0,0,0
Serbia (RS),02.01.2018 12:00 - 02.01.2018 13:00 (CET),5,2931,0,2,0,0,0,0,0,0,1847,0,0,0,61,0,0,0,0,0
Serbia (RS),02.01.2018 13:00 - 02.01.2018 14:00 (CET),5,2938,0,2,0,0,0,0,0,0,1613,0,0,0,60,0,0,0,0,0
Serbia (RS),02.01.2018 14:00 - 02.01.2018 15:00 (CET),5,2942,0,2,0,0,0,0,0,0,1584,0,0,0,61,0,0,0,0,0
Serbia (RS),02.01.2018 15:00 - 02.01.2018 16:00 (CET),5,2943,0,2,0,0,0,0,0,0,1529,0,0,0,61,0,0,0,0,0
Serbia (RS),02.01.2018 16:00 - 02.01.2018 17:00 (CET),5,2924,0,2,0,0,0,0,0,0,1598,0,0,0,61,0,0,0,0,0
Serbia (RS),02.01.2018 17:00 - 02.01.2018 18:00 (CET),5,2927,0,2,0,0,0,0,0,0,1635,0,0,0,60,0,0,0,0,0
Serbia (RS),02.01.2018 18:00 - 02.01.2018 19:00 (CET),5,2923,0,2,0,0,0,0,0,0,1644,0,0,0,62,0,0,0,0,0
Serbia (RS),02.01.2018 19:00 - 02.01.2018 20:00 (CET),5,2925,0,2,0,0,0,0,0,0,1614,0,0,0,65,0,0,0,0,0
Serbia (RS),02.01.2018 20:00 - 02.01.2018 21:00 (CET),5,2939,0,2,0,0,0,0,0,0,1650,10,0,0,67,0,0,0,0,0
Serbia (RS),02.01.2018 21:00 - 02.01.2018 22:00 (CET),5,2840,0,2,0,0,0,0,0,0,1363,21,0,0,67,0,0,0,0,0
Serbia (RS),02.01.2018 22:00 - 02.01.2018 23:00 (CET),5,2601,0,2,0,0,0,0,0,0,1628,22,0,0,66,0,0,0,0,0
