Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Netherlands (NL),01.01.2018 08:15 - 01.01.2018 08:30 (CET),47,0,0,1415,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,760,2509
Netherlands (NL),01.01.2018 08:30 - 01.01.2018 08:45 (CET),47,0,0,1327,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,774,2524
Netherlands (NL),01.01.2018 08:45 - 01.01.2018 09:00 (CET),47,0,0,1201,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,771,2509
Netherlands (NL),01.01.2018 09:00 - 01.01.2018 09:15 (CET),47,0,0,1166,0,0,0,0,0,0,0,0,0,0,545,0,0,1,0,715,2365
Netherlands (NL),01.01.2018 09:15 - 01.01.2018 09:30 (CET),48,0,0,1170,0,0,0,0,0,0,0,0,0,0,545,0,0,38,0,628,2438
Netherlands (NL),01.01.2018 09:30 - 01.01.2018 09:45 (CET),48,0,0,1167,0,0,0,0,0,0,0,0,0,0,545,0,0,75,0,630,2500
Netherlands (NL),01.01.2018 09:45 - 01.01.2018 10:00 (CET),47,0,0,1165,0,0,0,0,0,0,0,0,0,0,545,0,0,113,0,732,2487
Netherlands (NL),01.01.2018 10:00 - 01.01.2018 10:15 (CET),47,0,0,1297,0,0,0,0,0,0,0,0,0,0,545,0,0,150,0,834,2452
Netherlands (NL),01.01.2018 10:15 - 01.01.2018 10:30 (CET),47,0,0,1290,0,0,0,0,0,0,0,0,0,0,545,0,0,209,0,858,2479
Netherlands (NL),01.01.2018 10:30 - 01.01.2018 10:45 (CET),47,0,0,1345,0,0,0,0,0,0,0,0,0,0,545,0,0,267,0,859,2506
Netherlands (NL),01.01.2018 10:45 - 01.01.2018 11:00 (CET),47,0,0,1424,0,0,0,0,0,0,0,0,0,0,545,0,0,326,0,856,2545
Netherlands (NL),01.01.2018 11:00 - 01.01.2018 11:15 (CET),47,0,0,1464,0,0,0,0,0,0,0,0,0,0,545,0,0,385,0,856,2481
