Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Hungary (HU),01.01.2018 08:30 - 01.01.2018 08:45 (CET),115,288,0,669,0,0,0,0,0,0,0,5,0,0,1639,97,14,0,17,0,40
Hungary (HU),01.01.2018 08:45 - 01.01.2018 09:00 (CET),115,307,0,669,0,0,0,0,0,0,0,5,0,0,1641,97,14,0,17,0,37
Hungary (HU),01.01.2018 09:00 - 01.01.2018 09:15 (CET),116,294,0,656,0,0,0,0,0,0,0,5,0,0,1640,97,14,0,18,0,30
Hungary (HU),01.01.2018 09:15 - 01.01.2018 09:30 (CET),116,267,0,663,0,0,0,0,0,0,0,5,0,0,1639,97,14,0,17,0,20
Hungary (HU),01.01.2018 09:30 - 01.01.2018 09:45 (CET),116,279,0,667,0,0,0,0,0,0,0,5,0,0,1666,97,14,0,16,0,16
Hungary (HU),01.01.2018 09:45 - 01.01.2018 10:00 (CET),117,291,0,717,0,0,0,0,0,0,0,5,0,0,1739,97,14,0,15,0,20
Hungary (HU),01.01.2018 10:00 - 01.01.2018 10:15 (CET),117,274,0,620,0,0,0,0,0,0,0,5,0,0,1786,94,14,0,14,0,33
Hungary (HU),01.01.2018 10:15 - 01.01.2018 10:30 (CET),115,262,0,624,0,0,0,0,0,0,0,5,0,0,1786,94,15,0,14,0,55
Hungary (HU),01.01.2018 10:30 - 01.01.2018 10:45 (CET),108,259,0,662,0,0,0,0,0,0,0,5,0,0,1787,94,14,0,14,0,50
Hungary (HU),01.01.2018 10:45 - 01.01.2018 11:00 (CET),114,258,0,668,0,0,0,0,0,0,0,5,0,0,1787,94,14,0,14,0,60
Hungary (HU),01.01.2018 11:00 - 01.01.2018 11:15 (CET),117,260,0,642,0,0,0,0,0,0,0,5,0,0,1785,94,14,0,16,0,54
Hungary (HU),01.01.2018 11:15 - 01.01.2018 11:30 (CET),117,259,0,667,0,0,0,0,0,0,0,5,0,0,1786,94,14,0,15,0,48
Hungary (HU),01.01.2018 11:30 - 01.01.2018 11:45 (CET),117,259,0,688,0,0,0,0,0,0,0,5,0,0,1785,94,14,0,15,0,41
Hungary (HU),01.01.2018 11:45 - 01.01.2018 12:00 (CET),117,260,0,727,0,0,0,0,0,0,0,5,0,0,1785,94,14,0,16,0,32
Hungary (HU),01.01.2018 12:00 - 01.01.2018 12:15 (CET),117,262,0,712,0,0,0,0,0,0,0,5,0,0,1785,98,14,0,16,0,27
Hungary (HU),01.01.2018 12:15 - 01.01.2018 12:30 (CET),116,261,0,699,0,0,0,0,0,0,0,5,0,0,1785,98,14,0,16,0,27
Hungary (HU),01.01.2018 12:30 - 01.01.2018 12:45 (CET),116,260,0,721,0,0,0,0,0,0,0,5,0,0,1785,98,14,0,15,0,24
