Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Poland (PL),02.01.2018 05:00 - 02.01.2018 06:00 (CET),0,3639,74,552,7561,201,0,0,0,0,0,314,0,0,0,0,0,0,0,0,1371
Poland (PL),02.01.2018 06:00 - 02.01.2018 07:00 (CET),0,4712,72,576,8523,201,0,0,0,13,0,316,0,0,0,0,0,0,0,0,1147
Poland (PL),02.01.2018 07:00 - 02.01.2018 08:00 (CET),0,5310,65,638,9221,202,0,0,0,0,0,325,50,0,0,0,0,0,0,0,1179
Poland (PL),02.01.2018 08:00 - 02.01.2018 09:00 (CET),0,5427,49,636,9289,204,0,0,0,18,0,348,57,0,0,0,0,0,0,0,1290
Poland (PL),02.01.2018 09:00 - 02.01.2018 10:00 (CET),0,5772,53,635,9390,205,0,0,0,73,0,350,57,0,0,0,0,0,0,0,1247
Poland (PL),02.01.2018 10:00 - 02.01.2018 11:00 (CET),0,5967,54,635,9577,202,0,0,0,169,0,363,57,0,0,0,0,0,0,0,1070
Poland (PL),02.01.2018 11:00 - 02.01.2018 12:00 (CET),0,5989,56,633,9907,200,0,0,0,182,0,364,57,0,0,0,0,0,0,0,821
Poland (PL),02.01.2018 12:00 - 02.01.2018 13:00 (CET),0,5913,59,633,10249,202,0,0,0,147,0,365,7,0,0,0,0,0,0,0,710
Poland (PL),02.01.2018 13:00 - 02.01.2018 14:00 (CET),0,6010,69,633,10298,207,0,0,0,309,0,366,0,0,0,0,0,0,0,0,693
Poland (PL),02.01.2018 14:00 - 02.01.2018 15:00 (CET),0,5996,69,672,10207,204,0,0,0,135,0,367,50,0,0,0,0,0,0,0,751
Poland (PL),02.01.2018 15:00 - 02.01.2018 16:00 (CET),0,6055,67,678,10317,195,0,0,0,35,0,366,57,0,0,0,0,0,0,0,863
Poland (PL),02.01.2018 16:00 - 02.01.2018 17:00 (CET),0,6116,67,677,10784,195,0,0,0,283,0,359,57,0,0,0,0,0,0,0,990
Poland (PL),02.01.2018 17:00 - 02.01.2018 18:00 (CET),0,6103,68,678,10799,196,0,0,0,222,0,358,57,0,0,0,0,0,0,0,1008
Poland (PL),02.01.2018 18:00 - 02.01.2018 19:00 (CET),0,6106,70,681,10582,198,0,0,0,96,0,356,57,0,0,0,0,0,0,0,1053
Poland (PL),02.01.2018 19:00 - 02.01.2018 20:00 (CET),0,6110,70,682,10494,201,0,0,0,61,0,355,7,0,0,0,0,0,0,0,1076
Poland (PL),02.01.2018 20:00 - 02.01.2018 21:00 (CET),0,5972,71,683,9987,201,0,0,0,58,0,354,0,0,0,0,0,0,0,0,1043
Poland (PL),02.01.2018 21:00 - 02.01.2018 22:00 (CET),0,5771,71,681,9027,203,0,0,0,24,0,354,0,0,0,0,0,0,0,0,1049
Poland (PL),02.01.2018 22:00 - 02.01.2018 23:00 (CET),0,5170,70,648,8290,204,0,0,0,134,0,314,0,0,0,0,0,0,0,0,1036
Poland (PL),02.01.2018 23:00 - 03.01.2018 00:00 (CET),0,4250,69,647,8079,205,0,0,0,50,0,301,0,0,0,0,0,0,0,0,1079
Poland (PL),03.01.2018 00:00 - 03.01.2018 01:00 (CET),0,3618,69,645,7858,204,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1097
Poland (PL),03.01.2018 01:00 - 03.01.2018 02:00 (CET),0,3569,69,646,7818,203,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1133
Poland (PL),03.01.2018 02:00 - 03.01.2018 03:00 (CET),0,3566,69,646,7744,201,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1173
Poland (PL),03.01.2018 03:00 - 03.01.2018 04:00 (CET),0,3494,69,645,7751,200,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1431
Poland (PL),03.01.2018 04:00 - 03.01.2018 05:00 (CET),0,3579,69,645,7775,198,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1642
Poland (PL),03.01.2018 05:00 - 03.01.2018 06:00 (CET),0,3535,69,645,7880,198,0,0,0,0,0,304,0,0,0,0,0,0,0,0,1982
Poland (PL),03.01.2018 06:00 - 03.01.2018 07:00 (CET),0,4460,69,662,8331,199,0,0,0,0,0,301,0,0,0,0,0,0,0,0,2464
Poland (PL),03.01.2018 07:00 - 03.01.2018 08:00 (CET),0,5167,70,701,8689,205,0,0,0,0,0,323,50,0,0,0,0,0,0,0,3177
Poland (PL),03.01.2018 08:00 - 03.01.2018 09:00 (CET),0,5023,71,701,8897,206,0,0,0,70,0,337,57,0,0,0,0,0,0,0,3743
Poland (PL),03.01.2018 09:00 - 03.01.2018 10:00 (CET),0,4799,71,738,9116,211,0,0,0,125,0,341,57,0,0,0,0,0,0,0,4066
Poland (PL),03.01.2018 10:00 - 03.01.2018 11:00 (CET),0,4465,71,903,8941,216,0,0,0,184,0,352,57,0,0,0,0,0,0,0,4299
Poland (PL),03.01.2018 11:00 - 03.01.2018 12:00 (CET),0,4350,73,1117,8885,218,0,0,0,389,0,353,7,0,0,0,0,0,0,0,4488
Poland (PL),03.01.2018 12:00 - 03.01.2018 13:00 (CET),0,4607,73,1150,8827,214,0,0,0,340,0,354,0,0,0,0,0,0,0,0,4518
Poland (PL),03.01.2018 13:00 - 03.01.2018 14:00 (CET),0,4938,72,1144,8875,210,0,0,0,357,0,354,0,0,0,0,0,0,0,0,4378
Poland (PL),03.01.2018 14:00 - 03.01.2018 15:00 (CET),0,5035,68,1296,8804,210,0,0,0,100,0,354,50,0,0,0,0,0,0,0,4145
Poland (PL),03.01.2018 15:00 - 03.01.2018 16:00 (CET),0,5503,63,1299,8806,207,0,0,0,0,0,351,57,0,0,0,0,0,0,0,3942
Poland (PL),03.01.2018 16:00 - 03.01.2018 17:00 (CET),0,5967,64,1324,9075,210,0,0,0,105,0,369,57,0,0,0,0,0,0,0,3892
Poland (PL),03.01.2018 17:00 - 03.01.2018 18:00 (CET),0,5859,67,1329,8905,213,0,0,0,285,0,372,57,0,0,0,0,0,0,0,3850
Poland (PL),03.01.2018 18:00 - 03.01.2018 19:00 (CET),0,5625,72,1330,8764,212,0,0,0,503,0,371,57,0,0,0,0,0,0,0,3638
Poland (PL),03.01.2018 19:00 - 03.01.2018 20:00 (CET),0,5381,75,1331,8812,207,0,0,0,737,0,373,57,0,0,0,0,0,0,0,3494
Poland (PL),03.01.2018 20:00 - 03.01.2018 21:00 (CET),0,4890,74,1330,8726,206,0,0,0,706,0,367,7,0,0,0,0,0,0,0,3481
Poland (PL),03.01.2018 21:00 - 03.01.2018 22:00 (CET),0,4054,75,1325,8425,206,0,0,0,266,0,358,0,0,0,0,0,0,0,0,3482
Poland (PL),03.01.2018 22:00 - 03.01.2018 23:00 (CET),0,3765,76,1281,7853,207,0,0,0,112,0,332,0,0,0,0,0,0,0,0,3593
Poland (PL),03.01.2018 23:00 - 04.01.2018 00:00 (CET),0,3960,76,1215,7405,207,0,0,0,14,0,321,0,0,0,0,0,0,0,0,3672
Poland (PL),04.01.2018 00:00 - 04.01.2018 01:00 (CET),0,3780,77,890,6921,208,0,0,0,0,0,301,0,0,0,0,0,0,0,0,3867
Poland (PL),04.01.2018 01:00 - 04.01.2018 02:00 (CET),0,3762,74,862,6890,206,0,0,0,0,0,296,0,0,0,0,0,0,0,0,3953
Poland (PL),04.01.2018 02:00 - 04.01.2018 03:00 (CET),0,3960,74,868,6944,203,0,0,0,0,0,296,0,0,0,0,0,0,0,0,4022
Poland (PL),04.01.2018 03:00 - 04.01.2018 04:00 (CET),0,3914,74,869,7062,203,0,0,0,0,0,296,0,0,0,0,0,0,0,0,4085
Poland (PL),04.01.2018 04:00 - 04.01.2018 05:00 (CET),0,3798,74,859,7059,202,0,0,0,0,0,296,0,0,0,0,0,0,0,0,4263
Poland (PL),04.01.2018 05:00 - 04.01.2018 06:00 (CET),0,4049,74,859,7238,202,0,0,0,0,0,297,0,0,0,0,0,0,0,0,4344
Poland (PL),04.01.2018 06:00 - 04.01.2018 07:00 (CET),0,4774,73,915,7742,201,0,0,0,8,0,304,0,0,0,0,0,0,0,0,4418
Poland (PL),04.01.2018 07:00 - 04.01.2018 08:00 (CET),0,5400,72,1023,8222,202,0,0,0,20,0,310,38,0,0,0,0,0,0,0,4486
Poland (PL),04.01.2018 08:00 - 04.01.2018 09:00 (CET),0,4987,73,1037,8518,198,0,0,0,99,0,335,43,0,0,0,0,0,0,0,4474
Poland (PL),04.01.2018 09:00 - 04.01.2018 10:00 (CET),0,5204,76,946,9038,193,0,0,0,111,0,345,43,0,0,0,0,0,0,0,4303
Poland (PL),04.01.2018 10:00 - 04.01.2018 11:00 (CET),0,5379,77,938,9022,191,0,0,0,178,0,356,43,0,0,0,0,0,0,0,4256
Poland (PL),04.01.2018 11:00 - 04.01.2018 12:00 (CET),0,5606,76,1029,9027,191,0,0,0,169,0,357,43,0,0,0,0,0,0,0,4031
Poland (PL),04.01.2018 12:00 - 04.01.2018 13:00 (CET),0,5700,75,1021,9147,191,0,0,0,205,0,356,43,0,0,0,0,0,0,0,3809
Poland (PL),04.01.2018 13:00 - 04.01.2018 14:00 (CET),0,5852,73,1162,9184,190,0,0,0,315,0,347,5,0,0,0,0,0,0,0,3618
Poland (PL),04.01.2018 14:00 - 04.01.2018 15:00 (CET),0,5944,72,1039,9248,192,0,0,0,144,0,347,0,0,0,0,0,0,0,0,3213
Poland (PL),04.01.2018 15:00 - 04.01.2018 16:00 (CET),0,5971,71,1136,9259,192,0,0,0,54,0,357,37,0,0,0,0,0,0,0,2973
Poland (PL),04.01.2018 16:00 - 04.01.2018 17:00 (CET),0,6062,71,1164,9573,192,0,0,0,393,0,367,43,0,0,0,0,0,0,0,2808
Poland (PL),04.01.2018 17:00 - 04.01.2018 18:00 (CET),0,5966,72,1168,9635,193,0,0,0,703,0,372,43,0,0,0,0,0,0,0,2649
Poland (PL),04.01.2018 18:00 - 04.01.2018 19:00 (CET),0,5912,72,1131,9422,192,0,0,0,692,0,372,43,0,0,0,0,0,0,0,2656
Poland (PL),04.01.2018 19:00 - 04.01.2018 20:00 (CET),0,5901,71,1204,9330,192,0,0,0,594,0,372,43,0,0,0,0,0,0,0,2626
Poland (PL),04.01.2018 20:00 - 04.01.2018 21:00 (CET),0,5750,70,1182,9112,193,0,0,0,359,0,370,43,0,0,0,0,0,0,0,2619
Poland (PL),04.01.2018 21:00 - 04.01.2018 22:00 (CET),0,4597,70,1201,8934,193,0,0,0,201,0,372,43,0,0,0,0,0,0,0,2679
Poland (PL),04.01.2018 22:00 - 04.01.2018 23:00 (CET),0,3979,71,1127,8438,192,0,0,0,117,0,361,5,0,0,0,0,0,0,0,2706
Poland (PL),04.01.2018 23:00 - 05.01.2018 00:00 (CET),0,3833,70,1115,8082,193,0,0,0,45,0,350,0,0,0,0,0,0,0,0,2777
Poland (PL),05.01.2018 00:00 - 05.01.2018 01:00 (CET),0,3654,69,1118,7796,194,0,0,0,0,0,313,0,0,0,0,0,0,0,0,2800
Poland (PL),05.01.2018 01:00 - 05.01.2018 02:00 (CET),0,3579,70,1117,7692,194,0,0,0,0,0,309,0,0,0,0,0,0,0,0,2927
Poland (PL),05.01.2018 02:00 - 05.01.2018 03:00 (CET),0,3564,71,1117,7663,194,0,0,0,0,0,309,0,0,0,0,0,0,0,0,3263
Poland (PL),05.01.2018 03:00 - 05.01.2018 04:00 (CET),0,3606,71,1115,7727,193,0,0,0,0,0,309,0,0,0,0,0,0,0,0,3448
Poland (PL),05.01.2018 04:00 - 05.01.2018 05:00 (CET),0,3625,71,1115,7663,194,0,0,0,0,0,309,0,0,0,0,0,0,0,0,3659
Poland (PL),05.01.2018 05:00 - 05.01.2018 06:00 (CET),0,3954,71,1114,7712,193,0,0,0,0,0,308,0,0,0,0,0,0,0,0,3992
Poland (PL),05.01.2018 06:00 - 05.01.2018 07:00 (CET),0,4544,71,1162,8124,194,0,0,0,0,0,304,0,0,0,0,0,0,0,0,4233
Poland (PL),05.01.2018 07:00 - 05.01.2018 08:00 (CET),0,5007,72,1154,8309,194,0,0,0,8,0,306,50,0,0,0,0,0,0,0,4489
Poland (PL),05.01.2018 08:00 - 05.01.2018 09:00 (CET),0,5000,75,1149,8515,194,0,0,0,20,0,325,57,0,0,0,0,0,0,0,4510
Poland (PL),05.01.2018 09:00 - 05.01.2018 10:00 (CET),0,4802,78,1215,8677,195,0,0,0,143,0,343,57,0,0,0,0,0,0,0,4567
