Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,13.04.2018 10:00 - 13.04.2018 10:30 (CET),1473,0,0,21661,4581,0,0,0,0,1152,504,0,0,6552,90,0,728,0,127,2029
BZN|GB,13.04.2018 10:30 - 13.04.2018 11:00 (CET),1467,0,0,22026,4452,0,0,0,0,1362,515,0,0,6553,90,0,896,0,130,2016
BZN|GB,13.04.2018 11:00 - 13.04.2018 11:30 (CET),1461,0,0,22086,4597,0,0,0,0,1380,513,0,0,6566,90,0,1080,0,126,2004
BZN|GB,13.04.2018 11:30 - 13.04.2018 12:00 (CET),1456,0,0,22117,4678,0,0,0,0,1302,514,0,0,6553,90,0,1310,0,150,1887
BZN|GB,13.04.2018 12:00 - 13.04.2018 12:30 (CET),1464,0,0,22223,4487,0,0,0,0,1400,628,0,0,6554,90,0,1530,0,198,1781
BZN|GB,13.04.2018 12:30 - 13.04.2018 13:00 (CET),1462,0,0,22459,4516,0,0,0,0,1239,628,0,0,6578,90,0,1670,0,203,1635
BZN|GB,13.04.2018 13:00 - 13.04.2018 13:30 (CET),1468,0,0,22379,4534,0,0,0,0,1016,592,0,0,6691,90,0,1790,0,224,1635
BZN|GB,13.04.2018 13:30 - 13.04.2018 14:00 (CET),1469,0,0,22382,4636,0,0,0,0,666,575,0,0,6775,90,0,1820,0,234,1482
BZN|GB,13.04.2018 14:00 - 13.04.2018 14:30 (CET),1465,0,0,22226,4600,0,0,0,0,499,478,0,0,6797,98,0,1890,0,197,1453
BZN|GB,13.04.2018 14:30 - 13.04.2018 15:00 (CET),1467,0,0,21823,4641,0,0,0,0,467,466,0,0,6795,120,0,1870,0,193,1417
BZN|GB,13.04.2018 15:00 - 13.04.2018 15:30 (CET),1464,0,0,21781,4582,0,0,0,0,576,448,0,0,6794,122,0,1870,0,199,1385
BZN|GB,13.04.2018 15:30 - 13.04.2018 16:00 (CET),1460,0,0,21905,4316,0,0,0,0,425,448,0,0,6789,130,0,1820,0,263,1334
BZN|GB,13.04.2018 16:00 - 13.04.2018 16:30 (CET),1522,0,0,21664,4318,0,0,0,0,300,399,0,0,6796,130,0,1630,0,386,1195
