Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Portugal (PT),02.01.2018 10:00 - 02.01.2018 11:00 (CET),325,0,0,847,1082,0,0,0,0,1400,0,420,251,0,0,41,0,145,0,0,2945
Portugal (PT),02.01.2018 11:00 - 02.01.2018 12:00 (CET),322,0,0,897,1081,0,0,0,0,1225,1,375,233,0,0,40,0,208,0,0,2883
Portugal (PT),02.01.2018 12:00 - 02.01.2018 13:00 (CET),323,0,0,899,1082,0,0,0,0,1105,1,358,206,0,0,40,0,245,0,0,2785
Portugal (PT),02.01.2018 13:00 - 02.01.2018 14:00 (CET),324,0,0,896,1082,0,0,0,0,1092,1,322,173,0,0,40,0,239,0,0,2801
Portugal (PT),02.01.2018 14:00 - 02.01.2018 15:00 (CET),324,0,0,895,1082,0,0,0,0,892,2,211,107,0,0,43,0,191,0,0,2688
Portugal (PT),02.01.2018 15:00 - 02.01.2018 16:00 (CET),321,0,0,834,1077,0,0,0,0,591,3,222,62,0,0,43,0,155,0,0,2479
Portugal (PT),02.01.2018 16:00 - 02.01.2018 17:00 (CET),330,0,0,838,1100,0,0,0,0,559,4,233,87,0,0,44,0,104,0,0,2319
Portugal (PT),02.01.2018 17:00 - 02.01.2018 18:00 (CET),337,0,0,899,1250,0,0,0,0,1262,1,244,102,0,0,46,0,29,0,0,2225
Portugal (PT),02.01.2018 18:00 - 02.01.2018 19:00 (CET),337,0,0,903,1280,0,0,0,0,1466,1,268,132,0,0,46,0,1,0,0,2183
Portugal (PT),02.01.2018 19:00 - 02.01.2018 20:00 (CET),339,0,0,908,1280,0,0,0,0,1666,1,323,144,0,0,46,0,0,0,0,2190
Portugal (PT),02.01.2018 20:00 - 02.01.2018 21:00 (CET),337,0,0,910,1280,0,0,0,0,1629,1,449,353,0,0,46,0,0,0,0,2290
Portugal (PT),02.01.2018 21:00 - 02.01.2018 22:00 (CET),338,0,0,911,1281,0,0,0,0,1384,1,443,131,0,0,45,0,0,0,0,2349
Portugal (PT),02.01.2018 22:00 - 02.01.2018 23:00 (CET),338,0,0,895,1203,0,0,0,0,1331,1,414,103,0,0,46,0,0,0,0,2356
Portugal (PT),02.01.2018 23:00 - 03.01.2018 00:00 (CET),339,0,0,764,905,0,0,0,0,726,155,237,13,0,0,47,0,0,0,0,2351
Portugal (PT),03.01.2018 00:00 - 03.01.2018 01:00 (CET),332,0,0,557,932,0,0,0,0,198,749,199,66,0,0,44,0,0,0,0,2399
Portugal (PT),03.01.2018 01:00 - 03.01.2018 02:00 (CET),335,0,0,390,1084,0,0,0,0,256,1140,200,68,0,0,43,0,0,0,0,2572
Portugal (PT),03.01.2018 02:00 - 03.01.2018 03:00 (CET),336,0,0,380,1033,0,0,0,0,69,1261,208,68,0,0,44,0,0,0,0,2615
Portugal (PT),03.01.2018 03:00 - 03.01.2018 04:00 (CET),339,0,0,379,1041,0,0,0,0,0,1456,249,68,0,0,45,0,0,0,0,2576
Portugal (PT),03.01.2018 04:00 - 03.01.2018 05:00 (CET),337,0,0,380,1080,0,0,0,0,0,1452,267,70,0,0,44,0,0,0,0,2342
Portugal (PT),03.01.2018 05:00 - 03.01.2018 06:00 (CET),338,0,0,379,1074,0,0,0,0,1,1202,339,71,0,0,44,0,0,0,0,2020
Portugal (PT),03.01.2018 06:00 - 03.01.2018 07:00 (CET),331,0,0,380,1098,0,0,0,0,70,776,255,68,0,0,43,0,0,0,0,1776
Portugal (PT),03.01.2018 07:00 - 03.01.2018 08:00 (CET),328,0,0,441,1247,0,0,0,0,235,583,270,62,0,0,43,0,0,0,0,1535
Portugal (PT),03.01.2018 08:00 - 03.01.2018 09:00 (CET),321,0,0,736,1532,0,0,0,0,1567,41,393,91,0,0,40,0,0,0,0,1405
Portugal (PT),03.01.2018 09:00 - 03.01.2018 10:00 (CET),323,0,0,944,1708,0,0,0,0,1571,1,503,177,0,0,40,0,13,0,0,1496
Portugal (PT),03.01.2018 10:00 - 03.01.2018 11:00 (CET),314,0,0,996,1687,0,0,0,0,1623,1,554,308,0,0,40,0,64,0,0,1588
Portugal (PT),03.01.2018 11:00 - 03.01.2018 12:00 (CET),307,0,0,999,1547,0,0,0,0,1421,1,605,295,0,0,38,0,91,0,0,1694
Portugal (PT),03.01.2018 12:00 - 03.01.2018 13:00 (CET),310,0,0,976,1386,0,0,0,0,1596,1,648,138,0,0,40,0,108,0,0,1700
Portugal (PT),03.01.2018 13:00 - 03.01.2018 14:00 (CET),304,0,0,991,1387,0,0,0,0,1594,1,652,161,0,0,40,0,108,0,0,1756
Portugal (PT),03.01.2018 14:00 - 03.01.2018 15:00 (CET),297,0,0,992,1386,0,0,0,0,1321,2,604,91,0,0,38,0,90,0,0,1825
Portugal (PT),03.01.2018 15:00 - 03.01.2018 16:00 (CET),299,0,0,993,1387,0,0,0,0,771,32,513,95,0,0,40,0,76,0,0,1745
Portugal (PT),03.01.2018 16:00 - 03.01.2018 17:00 (CET),294,0,0,993,1387,0,0,0,0,800,38,490,111,0,0,41,0,51,0,0,1706
Portugal (PT),03.01.2018 17:00 - 03.01.2018 18:00 (CET),297,0,0,995,1384,0,0,0,0,1042,62,492,113,0,0,40,0,16,0,0,1860
Portugal (PT),03.01.2018 18:00 - 03.01.2018 19:00 (CET),308,0,0,993,1384,0,0,0,0,1343,62,509,153,0,0,41,0,1,0,0,1949
Portugal (PT),03.01.2018 19:00 - 03.01.2018 20:00 (CET),317,0,0,991,1383,0,0,0,0,1581,61,517,187,0,0,43,0,0,0,0,2017
Portugal (PT),03.01.2018 20:00 - 03.01.2018 21:00 (CET),320,0,0,1011,1383,0,0,0,0,1607,54,625,178,0,0,43,0,0,0,0,1993
Portugal (PT),03.01.2018 21:00 - 03.01.2018 22:00 (CET),321,0,0,1186,1384,0,0,0,0,1561,1,584,146,0,0,43,0,0,0,0,1874
Portugal (PT),03.01.2018 22:00 - 03.01.2018 23:00 (CET),324,0,0,1032,1384,0,0,0,0,1290,1,580,109,0,0,43,0,0,0,0,1897
Portugal (PT),03.01.2018 23:00 - 04.01.2018 00:00 (CET),326,0,0,679,1252,0,0,0,0,659,2,446,50,0,0,43,0,0,0,0,1783
Portugal (PT),04.01.2018 00:00 - 04.01.2018 01:00 (CET),330,0,0,571,1067,0,0,0,0,201,352,429,83,0,0,42,0,0,0,0,1763
Portugal (PT),04.01.2018 01:00 - 04.01.2018 02:00 (CET),329,0,0,404,1082,0,0,0,0,166,330,462,73,0,0,44,0,0,0,0,1787
Portugal (PT),04.01.2018 02:00 - 04.01.2018 03:00 (CET),328,0,0,395,1082,0,0,0,0,59,613,457,73,0,0,44,0,0,0,0,1768
Portugal (PT),04.01.2018 03:00 - 04.01.2018 04:00 (CET),323,0,0,387,1087,0,0,0,0,0,701,445,72,0,0,45,0,0,0,0,1680
Portugal (PT),04.01.2018 04:00 - 04.01.2018 05:00 (CET),326,0,0,387,1091,0,0,0,0,0,772,391,73,0,0,45,0,0,0,0,1698
Portugal (PT),04.01.2018 05:00 - 04.01.2018 06:00 (CET),334,0,0,387,1077,0,0,0,0,0,745,313,72,0,0,43,0,0,0,0,1876
Portugal (PT),04.01.2018 06:00 - 04.01.2018 07:00 (CET),334,0,0,384,1111,0,0,0,0,0,1056,361,66,0,0,45,0,0,0,0,2182
Portugal (PT),04.01.2018 07:00 - 04.01.2018 08:00 (CET),340,0,0,476,1066,0,0,0,0,115,1042,447,43,0,0,45,0,0,0,0,2200
Portugal (PT),04.01.2018 08:00 - 04.01.2018 09:00 (CET),342,0,0,824,1157,0,0,0,0,634,23,466,61,0,0,45,0,0,0,0,2322
Portugal (PT),04.01.2018 09:00 - 04.01.2018 10:00 (CET),342,0,0,945,1281,0,0,0,0,731,2,429,107,0,0,46,0,6,0,0,2418
Portugal (PT),04.01.2018 10:00 - 04.01.2018 11:00 (CET),341,0,0,969,1282,0,0,0,0,911,2,456,114,0,0,45,0,25,0,0,2549
Portugal (PT),04.01.2018 11:00 - 04.01.2018 12:00 (CET),341,0,0,970,1282,0,0,0,0,1118,1,477,109,0,0,44,0,54,0,0,2375
Portugal (PT),04.01.2018 12:00 - 04.01.2018 13:00 (CET),341,0,0,1056,1330,0,0,0,0,1220,1,448,75,0,0,47,0,86,0,0,2260
Portugal (PT),04.01.2018 13:00 - 04.01.2018 14:00 (CET),333,0,0,1056,1382,0,0,0,0,944,1,518,75,0,0,47,0,106,0,0,2362
Portugal (PT),04.01.2018 14:00 - 04.01.2018 15:00 (CET),327,0,0,964,1316,0,0,0,0,622,12,490,76,0,0,47,0,88,0,0,2464
Portugal (PT),04.01.2018 15:00 - 04.01.2018 16:00 (CET),330,0,0,966,1148,0,0,0,0,514,21,330,76,0,0,48,0,55,0,0,2533
Portugal (PT),04.01.2018 16:00 - 04.01.2018 17:00 (CET),335,0,0,962,1180,0,0,0,0,389,3,296,77,0,0,48,0,28,0,0,2647
Portugal (PT),04.01.2018 17:00 - 04.01.2018 18:00 (CET),337,0,0,973,1239,0,0,0,0,1181,1,328,94,0,0,48,0,9,0,0,2703
Portugal (PT),04.01.2018 18:00 - 04.01.2018 19:00 (CET),337,0,0,974,1370,0,0,0,0,1094,1,316,122,0,0,48,0,0,0,0,2675
Portugal (PT),04.01.2018 19:00 - 04.01.2018 20:00 (CET),342,0,0,980,1466,0,0,0,0,979,1,425,116,0,0,48,0,0,0,0,2767
Portugal (PT),04.01.2018 20:00 - 04.01.2018 21:00 (CET),337,0,0,986,1468,0,0,0,0,1137,1,481,134,0,0,48,0,0,0,0,2791
Portugal (PT),04.01.2018 21:00 - 04.01.2018 22:00 (CET),330,0,0,1014,1469,0,0,0,0,1180,1,514,139,0,0,47,0,0,0,0,2812
Portugal (PT),04.01.2018 22:00 - 04.01.2018 23:00 (CET),329,0,0,1039,1257,0,0,0,0,1019,1,517,97,0,0,46,0,0,0,0,2915
Portugal (PT),04.01.2018 23:00 - 05.01.2018 00:00 (CET),325,0,0,747,934,0,0,0,0,207,229,544,79,0,0,47,0,0,0,0,3009
Portugal (PT),05.01.2018 00:00 - 05.01.2018 01:00 (CET),325,0,0,576,838,0,0,0,0,99,874,380,75,0,0,46,0,0,0,0,3058
Portugal (PT),05.01.2018 01:00 - 05.01.2018 02:00 (CET),328,0,0,403,592,0,0,0,0,90,1038,371,70,0,0,45,0,0,0,0,3192
Portugal (PT),05.01.2018 02:00 - 05.01.2018 03:00 (CET),335,0,0,393,560,0,0,0,0,96,1432,292,71,0,0,46,0,0,0,0,3321
Portugal (PT),05.01.2018 03:00 - 05.01.2018 04:00 (CET),332,0,0,385,559,0,0,0,0,1,1800,333,72,0,0,45,0,0,0,0,3545
Portugal (PT),05.01.2018 04:00 - 05.01.2018 05:00 (CET),328,0,0,385,542,0,0,0,0,0,2085,283,73,0,0,44,0,0,0,0,3764
Portugal (PT),05.01.2018 05:00 - 05.01.2018 06:00 (CET),331,0,0,385,559,0,0,0,0,0,1909,404,74,0,0,45,0,0,0,0,3878
Portugal (PT),05.01.2018 06:00 - 05.01.2018 07:00 (CET),331,0,0,401,697,0,0,0,0,0,1262,437,82,0,0,44,0,0,0,0,3677
