Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Finland (FI),02.01.2018 10:00 - 02.01.2018 11:00 (CET),885,0,0,600,761,1,0,489,0,0,0,2029,0,0,2791,76,43,0,7,0,129
Finland (FI),02.01.2018 11:00 - 02.01.2018 12:00 (CET),887,0,0,598,758,1,0,487,0,0,0,2056,0,0,2791,76,43,0,7,0,119
Finland (FI),02.01.2018 12:00 - 02.01.2018 13:00 (CET),893,0,0,596,760,1,0,492,0,0,0,2019,0,0,2791,76,43,0,7,0,110
Finland (FI),02.01.2018 13:00 - 02.01.2018 14:00 (CET),891,0,0,591,753,1,0,487,0,0,0,2016,0,0,2790,76,43,0,7,0,96
Finland (FI),02.01.2018 14:00 - 02.01.2018 15:00 (CET),898,0,0,580,754,1,0,481,0,0,0,2048,0,0,2791,76,43,0,7,0,128
Finland (FI),02.01.2018 15:00 - 02.01.2018 16:00 (CET),925,0,0,658,757,1,0,486,0,0,0,2145,0,0,2791,76,43,0,7,0,174
Finland (FI),02.01.2018 16:00 - 02.01.2018 17:00 (CET),934,0,0,732,768,1,0,517,0,0,0,2279,0,0,2791,76,43,0,7,0,189
Finland (FI),02.01.2018 17:00 - 02.01.2018 18:00 (CET),931,0,0,736,771,1,0,533,0,0,0,2280,0,0,2792,76,43,0,7,0,248
Finland (FI),02.01.2018 18:00 - 02.01.2018 19:00 (CET),892,0,0,651,763,1,0,510,0,0,0,2068,0,0,2792,76,43,0,7,0,288
Finland (FI),02.01.2018 19:00 - 02.01.2018 20:00 (CET),871,0,0,584,758,1,0,467,0,0,0,1902,0,0,2792,76,43,0,7,0,321
Finland (FI),02.01.2018 20:00 - 02.01.2018 21:00 (CET),872,0,0,579,757,1,0,432,0,0,0,1682,0,0,2791,76,43,0,7,0,359
Finland (FI),02.01.2018 21:00 - 02.01.2018 22:00 (CET),852,0,0,574,753,1,0,423,0,0,0,1336,0,0,2792,76,43,0,7,0,391
Finland (FI),02.01.2018 22:00 - 02.01.2018 23:00 (CET),843,0,0,591,742,1,0,413,0,0,0,1246,0,0,2791,76,43,0,7,0,443
Finland (FI),02.01.2018 23:00 - 03.01.2018 00:00 (CET),817,0,0,578,738,1,0,404,0,0,0,1197,0,0,2791,76,41,0,7,0,529
Finland (FI),03.01.2018 00:00 - 03.01.2018 01:00 (CET),820,0,0,579,732,1,0,390,0,0,0,1230,0,0,2791,76,43,0,7,0,585
Finland (FI),03.01.2018 01:00 - 03.01.2018 02:00 (CET),821,0,0,575,716,1,0,392,0,0,0,1156,0,0,2792,74,43,0,7,0,672
Finland (FI),03.01.2018 02:00 - 03.01.2018 03:00 (CET),830,0,0,570,704,1,0,391,0,0,0,1076,0,0,2792,74,43,0,7,0,725
Finland (FI),03.01.2018 03:00 - 03.01.2018 04:00 (CET),828,0,0,572,701,1,0,388,0,0,0,1054,0,0,2792,74,43,0,7,0,748
Finland (FI),03.01.2018 04:00 - 03.01.2018 05:00 (CET),832,0,0,583,697,1,0,395,0,0,0,1038,0,0,2793,74,43,0,7,0,732
Finland (FI),03.01.2018 05:00 - 03.01.2018 06:00 (CET),844,0,0,660,696,1,0,413,0,0,0,1212,0,0,2792,74,43,0,7,0,721
