Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Belgium (BE),02.01.2018 10:00 - 02.01.2018 11:00 (CET),418,0,0,2311,0,0,0,0,0,939,0,16,0,0,4952,737,0,246,198,414,259
Belgium (BE),02.01.2018 11:00 - 02.01.2018 12:00 (CET),433,0,0,2355,0,0,0,0,0,1049,0,16,0,0,4948,769,0,325,196,189,168
Belgium (BE),02.01.2018 12:00 - 02.01.2018 13:00 (CET),434,0,0,2391,0,0,0,0,0,633,0,16,0,0,4950,791,0,266,194,217,187
Belgium (BE),02.01.2018 13:00 - 02.01.2018 14:00 (CET),434,0,0,2293,0,0,0,0,0,108,0,16,0,0,4950,790,0,208,193,318,224
Belgium (BE),02.01.2018 14:00 - 02.01.2018 15:00 (CET),431,0,0,2157,0,0,0,0,0,0,0,16,0,0,4952,754,0,129,185,578,243
Belgium (BE),02.01.2018 15:00 - 02.01.2018 16:00 (CET),436,0,0,2337,0,0,0,0,0,21,0,16,0,0,4953,735,0,59,186,728,457
Belgium (BE),02.01.2018 16:00 - 02.01.2018 17:00 (CET),439,0,0,2206,0,0,0,0,0,33,0,16,0,0,4947,775,0,4,195,756,496
Belgium (BE),02.01.2018 17:00 - 02.01.2018 18:00 (CET),435,0,0,2258,0,0,0,0,0,393,0,15,0,0,4948,771,0,0,196,807,624
Belgium (BE),02.01.2018 18:00 - 02.01.2018 19:00 (CET),438,0,0,2062,0,0,0,0,0,495,0,15,0,0,4954,684,0,0,199,809,888
Belgium (BE),02.01.2018 19:00 - 02.01.2018 20:00 (CET),437,0,0,1817,0,0,0,0,0,224,0,15,0,0,4944,633,0,0,199,806,1003
Belgium (BE),02.01.2018 20:00 - 02.01.2018 21:00 (CET),415,0,0,1712,0,0,0,0,0,2,0,15,0,0,4941,574,0,0,199,805,987
Belgium (BE),02.01.2018 21:00 - 02.01.2018 22:00 (CET),327,0,0,1685,0,0,0,0,0,52,0,15,0,0,4943,548,0,0,199,791,864
Belgium (BE),02.01.2018 22:00 - 02.01.2018 23:00 (CET),300,0,0,1702,0,0,0,0,0,0,0,14,0,0,4940,532,0,0,197,806,903
Belgium (BE),02.01.2018 23:00 - 03.01.2018 00:00 (CET),301,0,0,1668,0,0,0,0,0,15,0,14,0,0,4938,546,0,0,191,804,981
Belgium (BE),03.01.2018 00:00 - 03.01.2018 01:00 (CET),307,0,0,1671,0,0,0,0,0,0,0,14,0,0,4938,476,0,0,194,807,1071
Belgium (BE),03.01.2018 01:00 - 03.01.2018 02:00 (CET),337,0,0,1613,0,0,0,0,0,0,0,14,0,0,4937,482,0,0,195,808,1165
Belgium (BE),03.01.2018 02:00 - 03.01.2018 03:00 (CET),371,0,0,1628,0,0,0,0,0,0,0,14,0,0,4931,505,0,0,199,477,1233
Belgium (BE),03.01.2018 03:00 - 03.01.2018 04:00 (CET),416,0,0,1635,0,0,0,0,0,0,0,14,0,0,4929,550,0,0,198,538,1173
Belgium (BE),03.01.2018 04:00 - 03.01.2018 05:00 (CET),419,0,0,1650,0,0,0,0,0,0,0,14,0,0,4924,494,0,0,197,803,1125
Belgium (BE),03.01.2018 05:00 - 03.01.2018 06:00 (CET),416,0,0,1674,0,0,0,0,0,0,0,14,0,0,4931,526,0,0,198,627,897
Belgium (BE),03.01.2018 06:00 - 03.01.2018 07:00 (CET),411,0,0,1658,0,0,0,0,0,0,0,14,0,0,4934,547,0,0,198,585,915
Belgium (BE),03.01.2018 07:00 - 03.01.2018 08:00 (CET),416,0,0,1674,0,0,0,0,0,62,0,13,0,0,4933,588,0,0,196,729,934
Belgium (BE),03.01.2018 08:00 - 03.01.2018 09:00 (CET),412,0,0,1610,0,0,0,0,0,112,0,15,0,0,4933,598,0,0,199,649,982
Belgium (BE),03.01.2018 09:00 - 03.01.2018 10:00 (CET),415,0,0,1612,0,0,0,0,0,297,0,13,0,0,4934,603,0,65,197,346,955
Belgium (BE),03.01.2018 10:00 - 03.01.2018 11:00 (CET),414,0,0,1743,0,0,0,0,0,429,0,11,0,0,4941,609,0,221,192,265,1060
Belgium (BE),03.01.2018 11:00 - 03.01.2018 12:00 (CET),414,0,0,1867,0,0,0,0,0,565,0,12,0,0,4935,628,0,202,193,268,1059
Belgium (BE),03.01.2018 12:00 - 03.01.2018 13:00 (CET),413,0,0,1843,0,0,0,0,0,595,0,14,0,0,4936,650,0,217,200,334,1035
Belgium (BE),03.01.2018 13:00 - 03.01.2018 14:00 (CET),410,0,0,1871,0,0,0,0,0,185,0,14,0,0,4935,657,0,157,199,704,1082
Belgium (BE),03.01.2018 14:00 - 03.01.2018 15:00 (CET),407,0,0,1946,0,0,0,0,0,31,0,14,0,0,4935,664,0,100,197,746,1124
Belgium (BE),03.01.2018 15:00 - 03.01.2018 16:00 (CET),415,0,0,1917,0,0,0,0,0,0,0,15,0,0,4938,671,0,45,198,806,1165
Belgium (BE),03.01.2018 16:00 - 03.01.2018 17:00 (CET),419,0,0,1798,0,0,0,0,0,0,0,14,0,0,4939,657,0,4,201,806,1145
Belgium (BE),03.01.2018 17:00 - 03.01.2018 18:00 (CET),419,0,0,1746,0,0,0,0,0,654,0,13,0,0,4938,638,0,0,194,808,1159
Belgium (BE),03.01.2018 18:00 - 03.01.2018 19:00 (CET),419,0,0,1668,0,0,0,0,0,680,0,14,0,0,4938,605,0,0,197,805,1169
Belgium (BE),03.01.2018 19:00 - 03.01.2018 20:00 (CET),401,0,0,1601,0,0,0,0,0,337,0,14,0,0,4937,577,0,0,198,808,1148
Belgium (BE),03.01.2018 20:00 - 03.01.2018 21:00 (CET),317,0,0,1615,0,0,0,0,0,203,0,14,0,0,4939,562,0,0,200,807,1118
Belgium (BE),03.01.2018 21:00 - 03.01.2018 22:00 (CET),304,0,0,1642,0,0,0,0,0,63,0,13,0,0,4940,554,0,0,203,809,1121
Belgium (BE),03.01.2018 22:00 - 03.01.2018 23:00 (CET),298,0,0,1624,0,0,0,0,0,167,0,13,0,0,4941,488,0,0,203,808,995
Belgium (BE),03.01.2018 23:00 - 04.01.2018 00:00 (CET),302,0,0,1614,0,0,0,0,0,112,0,11,0,0,4942,579,0,0,198,809,976
Belgium (BE),04.01.2018 00:00 - 04.01.2018 01:00 (CET),300,0,0,1700,0,0,0,0,0,0,0,11,0,0,4939,658,0,0,202,809,967
Belgium (BE),04.01.2018 01:00 - 04.01.2018 02:00 (CET),301,0,0,1716,0,0,0,0,0,0,0,11,0,0,4941,670,0,0,202,809,888
Belgium (BE),04.01.2018 02:00 - 04.01.2018 03:00 (CET),303,0,0,1714,0,0,0,0,0,0,0,10,0,0,4941,670,0,0,203,807,810
Belgium (BE),04.01.2018 03:00 - 04.01.2018 04:00 (CET),332,0,0,1627,0,0,0,0,0,0,0,10,0,0,4942,681,0,0,202,792,658
Belgium (BE),04.01.2018 04:00 - 04.01.2018 05:00 (CET),338,0,0,1594,0,0,0,0,0,0,0,10,0,0,4943,657,0,0,203,779,589
Belgium (BE),04.01.2018 05:00 - 04.01.2018 06:00 (CET),344,0,0,1547,0,0,0,0,0,0,0,10,0,0,4944,601,0,0,201,638,465
Belgium (BE),04.01.2018 06:00 - 04.01.2018 07:00 (CET),376,0,0,1687,0,0,0,0,0,6,0,10,0,0,4945,628,0,0,201,409,337
Belgium (BE),04.01.2018 07:00 - 04.01.2018 08:00 (CET),424,0,0,1694,0,0,0,0,0,37,0,10,0,0,4945,717,0,0,199,395,219
Belgium (BE),04.01.2018 08:00 - 04.01.2018 09:00 (CET),429,0,0,2026,0,0,0,0,0,12,0,9,0,0,4940,756,0,0,202,337,188
Belgium (BE),04.01.2018 09:00 - 04.01.2018 10:00 (CET),432,0,0,2243,0,0,0,0,0,63,0,8,0,0,4945,790,0,9,200,99,229
Belgium (BE),04.01.2018 10:00 - 04.01.2018 11:00 (CET),427,0,0,2231,0,0,0,0,0,108,0,10,0,0,4939,772,0,46,201,111,268
Belgium (BE),04.01.2018 11:00 - 04.01.2018 12:00 (CET),428,0,0,2276,0,0,0,0,0,263,0,9,0,0,4935,762,0,74,200,193,340
Belgium (BE),04.01.2018 12:00 - 04.01.2018 13:00 (CET),428,0,0,2327,0,0,0,0,0,146,0,9,0,0,4935,770,0,92,200,435,643
Belgium (BE),04.01.2018 13:00 - 04.01.2018 14:00 (CET),423,0,0,2298,0,0,0,0,0,253,0,11,0,0,4931,766,0,124,198,774,924
Belgium (BE),04.01.2018 14:00 - 04.01.2018 15:00 (CET),427,0,0,2373,0,0,0,0,0,380,0,14,0,0,4918,783,0,128,198,811,1074
Belgium (BE),04.01.2018 15:00 - 04.01.2018 16:00 (CET),426,0,0,2393,0,0,0,0,0,310,0,14,0,0,4921,795,0,79,196,819,1161
Belgium (BE),04.01.2018 16:00 - 04.01.2018 17:00 (CET),432,0,0,2320,0,0,0,0,0,455,0,14,0,0,4932,796,0,12,197,819,1214
Belgium (BE),04.01.2018 17:00 - 04.01.2018 18:00 (CET),433,0,0,2389,0,0,0,0,0,774,0,14,0,0,4931,722,0,0,198,818,1212
Belgium (BE),04.01.2018 18:00 - 04.01.2018 19:00 (CET),437,0,0,2054,0,0,0,0,0,644,0,14,0,0,4938,750,0,0,202,816,1189
Belgium (BE),04.01.2018 19:00 - 04.01.2018 20:00 (CET),437,0,0,1754,0,0,0,0,0,663,0,14,0,0,4940,753,0,0,197,767,1141
Belgium (BE),04.01.2018 20:00 - 04.01.2018 21:00 (CET),430,0,0,1730,0,0,0,0,0,191,0,12,0,0,4942,740,0,0,200,811,1159
Belgium (BE),04.01.2018 21:00 - 04.01.2018 22:00 (CET),426,0,0,1724,0,0,0,0,0,45,0,9,0,0,4945,710,0,0,199,817,1111
Belgium (BE),04.01.2018 22:00 - 04.01.2018 23:00 (CET),428,0,0,1711,0,0,0,0,0,61,0,9,0,0,4947,704,0,0,198,817,995
Belgium (BE),04.01.2018 23:00 - 05.01.2018 00:00 (CET),425,0,0,1651,0,0,0,0,0,32,0,9,0,0,4949,714,0,0,196,817,914
Belgium (BE),05.01.2018 00:00 - 05.01.2018 01:00 (CET),355,0,0,1558,0,0,0,0,0,0,0,9,0,0,4948,661,0,0,199,810,849
Belgium (BE),05.01.2018 01:00 - 05.01.2018 02:00 (CET),334,0,0,1589,0,0,0,0,0,0,0,9,0,0,4947,656,0,0,200,562,763
Belgium (BE),05.01.2018 02:00 - 05.01.2018 03:00 (CET),347,0,0,1642,0,0,0,0,0,0,0,9,0,0,4946,654,0,0,202,298,814
Belgium (BE),05.01.2018 03:00 - 05.01.2018 04:00 (CET),420,0,0,1646,0,0,0,0,0,0,0,9,0,0,4946,657,0,0,200,29,879
Belgium (BE),05.01.2018 04:00 - 05.01.2018 05:00 (CET),418,0,0,1648,0,0,0,0,0,0,0,9,0,0,4944,661,0,0,201,135,1034
Belgium (BE),05.01.2018 05:00 - 05.01.2018 06:00 (CET),348,0,0,1497,0,0,0,0,0,0,0,9,0,0,4946,636,0,0,200,435,988
Belgium (BE),05.01.2018 06:00 - 05.01.2018 07:00 (CET),377,0,0,1702,0,0,0,0,0,68,0,9,0,0,4946,648,0,0,203,522,781
Belgium (BE),05.01.2018 07:00 - 05.01.2018 08:00 (CET),424,0,0,1732,0,0,0,0,0,315,0,9,0,0,4946,739,0,0,201,357,645
Belgium (BE),05.01.2018 08:00 - 05.01.2018 09:00 (CET),428,0,0,1842,0,0,0,0,0,306,0,9,0,0,4943,795,0,0,201,537,614
Belgium (BE),05.01.2018 09:00 - 05.01.2018 10:00 (CET),413,0,0,1833,0,0,0,0,0,115,0,9,0,0,4947,810,0,65,195,565,492
Belgium (BE),05.01.2018 10:00 - 05.01.2018 11:00 (CET),399,0,0,1931,0,0,0,0,0,512,0,11,0,0,4946,807,0,164,197,372,381
Belgium (BE),05.01.2018 11:00 - 05.01.2018 12:00 (CET),408,0,0,1883,0,0,0,0,0,365,0,10,0,0,4947,811,0,251,195,296,293
Belgium (BE),05.01.2018 12:00 - 05.01.2018 13:00 (CET),427,0,0,1915,0,0,0,0,0,639,0,7,0,0,4946,811,0,286,198,299,293
Belgium (BE),05.01.2018 13:00 - 05.01.2018 14:00 (CET),428,0,0,1834,0,0,0,0,0,249,0,8,0,0,4945,808,0,286,193,451,293
Belgium (BE),05.01.2018 14:00 - 05.01.2018 15:00 (CET),425,0,0,2150,0,0,0,0,0,158,0,14,0,0,4944,800,0,205,197,360,420
Belgium (BE),05.01.2018 15:00 - 05.01.2018 16:00 (CET),431,0,0,2286,0,0,0,0,0,47,0,14,0,0,4944,819,0,100,196,416,484
Belgium (BE),05.01.2018 16:00 - 05.01.2018 17:00 (CET),429,0,0,2298,0,0,0,0,0,0,0,13,0,0,4947,814,0,18,194,667,508
Belgium (BE),05.01.2018 17:00 - 05.01.2018 18:00 (CET),431,0,0,2414,0,0,0,0,0,471,0,13,0,0,4947,801,0,0,192,751,458
Belgium (BE),05.01.2018 18:00 - 05.01.2018 19:00 (CET),431,0,0,2380,0,0,0,0,0,453,0,13,0,0,4947,757,0,0,198,768,505
Belgium (BE),05.01.2018 19:00 - 05.01.2018 20:00 (CET),426,0,0,2359,0,0,0,0,0,314,0,13,0,0,4949,641,0,0,196,758,583
Belgium (BE),05.01.2018 20:00 - 05.01.2018 21:00 (CET),414,0,0,1810,0,0,0,0,0,0,0,13,0,0,4951,579,0,0,199,778,628
Belgium (BE),05.01.2018 21:00 - 05.01.2018 22:00 (CET),414,0,0,1595,0,0,0,0,0,0,0,13,0,0,4952,551,0,0,199,726,561
Belgium (BE),05.01.2018 22:00 - 05.01.2018 23:00 (CET),414,0,0,1684,0,0,0,0,0,0,0,13,0,0,4951,567,0,0,201,542,534
Belgium (BE),05.01.2018 23:00 - 06.01.2018 00:00 (CET),414,0,0,1717,0,0,0,0,0,50,0,13,0,0,4950,672,0,0,199,341,492
Belgium (BE),06.01.2018 00:00 - 06.01.2018 01:00 (CET),412,0,0,1615,0,0,0,0,0,0,0,13,0,0,4949,661,0,0,200,261,391
Belgium (BE),06.01.2018 01:00 - 06.01.2018 02:00 (CET),416,0,0,1604,0,0,0,0,0,0,0,13,0,0,4950,655,0,0,196,193,389
Belgium (BE),06.01.2018 02:00 - 06.01.2018 03:00 (CET),420,0,0,1656,0,0,0,0,0,0,0,13,0,0,4950,621,0,0,199,144,416
Belgium (BE),06.01.2018 03:00 - 06.01.2018 04:00 (CET),421,0,0,1702,0,0,0,0,0,0,0,13,0,0,4949,633,0,0,200,58,288
Belgium (BE),06.01.2018 04:00 - 06.01.2018 05:00 (CET),423,0,0,1626,0,0,0,0,0,0,0,13,0,0,4953,647,0,0,199,14,257
Belgium (BE),06.01.2018 05:00 - 06.01.2018 06:00 (CET),421,0,0,1656,0,0,0,0,0,0,0,13,0,0,4956,605,0,0,198,7,274
Belgium (BE),06.01.2018 06:00 - 06.01.2018 07:00 (CET),416,0,0,1651,0,0,0,0,0,0,0,13,0,0,4959,624,0,0,198,3,198
Belgium (BE),06.01.2018 07:00 - 06.01.2018 08:00 (CET),419,0,0,1623,0,0,0,0,0,0,0,13,0,0,4955,657,0,0,193,7,131
Belgium (BE),06.01.2018 08:00 - 06.01.2018 09:00 (CET),418,0,0,1561,0,0,0,0,0,0,0,13,0,0,4955,715,0,0,193,23,91
Belgium (BE),06.01.2018 09:00 - 06.01.2018 10:00 (CET),417,0,0,1750,0,0,0,0,0,86,0,13,0,0,4958,766,0,29,193,18,72
Belgium (BE),06.01.2018 10:00 - 06.01.2018 11:00 (CET),417,0,0,1756,0,0,0,0,0,226,0,13,0,0,4955,777,0,104,196,29,43
Belgium (BE),06.01.2018 11:00 - 06.01.2018 12:00 (CET),414,0,0,1743,0,0,0,0,0,234,0,12,0,0,4953,807,0,165,192,36,36
Belgium (BE),06.01.2018 12:00 - 06.01.2018 13:00 (CET),410,0,0,1794,0,0,0,0,0,269,0,14,0,0,4953,814,0,179,190,18,23
Belgium (BE),06.01.2018 13:00 - 06.01.2018 14:00 (CET),413,0,0,1733,0,0,0,0,0,167,0,15,0,0,4950,822,0,170,185,22,22
Belgium (BE),06.01.2018 14:00 - 06.01.2018 15:00 (CET),415,0,0,1699,0,0,0,0,0,43,0,14,0,0,4950,766,0,125,200,99,25
Belgium (BE),06.01.2018 15:00 - 06.01.2018 16:00 (CET),423,0,0,1732,0,0,0,0,0,0,0,14,0,0,4950,734,0,67,199,216,26
Belgium (BE),06.01.2018 16:00 - 06.01.2018 17:00 (CET),425,0,0,1745,0,0,0,0,0,215,0,14,0,0,4951,748,0,9,199,351,46
Belgium (BE),06.01.2018 17:00 - 06.01.2018 18:00 (CET),425,0,0,1744,0,0,0,0,0,500,0,14,0,0,4950,743,0,0,198,607,108
Belgium (BE),06.01.2018 18:00 - 06.01.2018 19:00 (CET),423,0,0,1639,0,0,0,0,0,441,0,14,0,0,4950,655,0,0,200,769,152
Belgium (BE),06.01.2018 19:00 - 06.01.2018 20:00 (CET),422,0,0,1693,0,0,0,0,0,305,0,14,0,0,4951,634,0,0,200,807,181
Belgium (BE),06.01.2018 20:00 - 06.01.2018 21:00 (CET),424,0,0,1713,0,0,0,0,0,185,0,13,0,0,4950,619,0,0,201,808,233
Belgium (BE),06.01.2018 21:00 - 06.01.2018 22:00 (CET),424,0,0,1620,0,0,0,0,0,0,0,15,0,0,4952,618,0,0,200,812,295
Belgium (BE),06.01.2018 22:00 - 06.01.2018 23:00 (CET),420,0,0,1595,0,0,0,0,0,6,0,15,0,0,4951,582,0,0,197,807,361
Belgium (BE),06.01.2018 23:00 - 07.01.2018 00:00 (CET),414,0,0,1562,0,0,0,0,0,67,0,14,0,0,4952,593,0,0,198,823,367
Belgium (BE),07.01.2018 00:00 - 07.01.2018 01:00 (CET),337,0,0,1503,0,0,0,0,0,0,0,15,0,0,4952,589,0,0,196,805,365
Belgium (BE),07.01.2018 01:00 - 07.01.2018 02:00 (CET),295,0,0,1557,0,0,0,0,0,0,0,15,0,0,4952,584,0,0,185,801,411
Belgium (BE),07.01.2018 02:00 - 07.01.2018 03:00 (CET),293,0,0,1515,0,0,0,0,0,0,0,15,0,0,4952,570,0,0,187,792,446
Belgium (BE),07.01.2018 03:00 - 07.01.2018 04:00 (CET),293,0,0,1580,0,0,0,0,0,0,0,15,0,0,4951,566,0,0,185,798,469
Belgium (BE),07.01.2018 04:00 - 07.01.2018 05:00 (CET),293,0,0,1587,0,0,0,0,0,0,0,15,0,0,4951,570,0,0,185,814,618
Belgium (BE),07.01.2018 05:00 - 07.01.2018 06:00 (CET),296,0,0,1557,0,0,0,0,0,0,0,15,0,0,4951,571,0,0,183,818,672
Belgium (BE),07.01.2018 06:00 - 07.01.2018 07:00 (CET),296,0,0,1570,0,0,0,0,0,0,0,15,0,0,4953,583,0,0,182,822,745
Belgium (BE),07.01.2018 07:00 - 07.01.2018 08:00 (CET),323,0,0,1496,0,0,0,0,0,0,0,14,0,0,4955,618,0,0,184,820,769
Belgium (BE),07.01.2018 08:00 - 07.01.2018 09:00 (CET),327,0,0,1496,0,0,0,0,0,0,0,15,0,0,4954,636,0,0,184,824,860
